general_assembly,bill,fiscal_year,kind,source,documents,fund_group,fund,line_item,title,amount
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200507,Vocational Education,2047762.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200509,Adult Literacy Education,8970230.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200511,Auxiliary Services,101532774.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200512,Driver Education,6464450.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200514,Post-Secondary/Adult Career-Technic,20937141.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200519,Pilot Scholarship Program,1346893.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200520,Disadvantaged Pupil Impact Aid,369053622.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200521,Gifted Pupil Program,34912236.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200524,Educational Excellence and Competenc,9168000.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200525,Parity Aid,0.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200526,Vocational Education Equipment Repla,4770394.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200528,Education Mobility Assistance,0.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200532,Nonpublic Administration Cost Reimbur,44413619.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200533,School-Age Child Care,1103112.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200534,Desegregation Cost,47903061.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200538,Discovery Project Match,0.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200539,Educational Technology,0.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200540,Special Education Enhancements,131826304.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200541,Peer Review,269736.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200542,National Board Certification,690000.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200543,Entry Year Programs,323781.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200544,Individual Career Plan and Passport,856347.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200545,Career-Technical Education Enhancem,187724836.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200546,Charge-Off Supplement,7303168.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200547,Power Equalization,10738996.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200548,Teacher Recruitment Pilots,0.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200551,Reading Improvement,1766265.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200552,County MR/DD Boards Vehicle Purcha,194492.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200553,County MR/DD Boards Transportation,8955905.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200557,JOGS One Time Supplement,0.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200558,Emergency Loan Interest Subsidy,8490374.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200560,Interactive Communication Information,0.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200565,Amer-I-Can Onetime Supplement,0.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200566,OhioReads Grants,0.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200568,Adolescent Pregnancy Program,0.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200570,School Improvement Incentive Grants,0.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200572,Teacher Incentive Grants,0.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200573,Character Education,0.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200574,Substance Abuse Prevention,0.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200577,Preschool Special Education,2204723.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200580,Bethel School Clean-Up,0.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200589,Special Education Aides,1635155.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200901,Property Tax Allocation,591033893.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200906,Tangible Tax Exemption-Education,65047249.00
124,hb94,2000,actual,hb94-greenbook,1,,006,200689,Hazardous Waste Removal,0.00
124,hb94,2000,actual,hb94-greenbook,1,,017,200612,Base Cost Funding,656247000.00
124,hb94,2000,actual,hb94-greenbook,1,,017,200670,School Foundation-Basic Allowance,0.00
124,hb94,2000,actual,hb94-greenbook,1,,017,200671,Special Education,0.00
124,hb94,2000,actual,hb94-greenbook,1,,017,200672,Vocational Education,0.00
124,hb94,2000,actual,hb94-greenbook,1,,017,200682,Lease Rental Payments Reimbursemen,0.00
