irn,district,county,foundation_funding_pre_reduction,net_open_enrollment,net_excess_cost,scholarship_deduction,community_stem_deduction,student_wellness_success,enrollment_growth_supplement,funding_base
048876,Tri-Valley Local SD,Muskingum,17358472.68,1019929.73,0,-60784,-1124108.96,983718.03,0,18177227.48
048884,West Muskingum Local SD,Muskingum,5317004.51,-32897.29,0,-93651.74,-746331.98,210377.9,0,4654501.4
048900,Noble Local SD,Noble,5262786.29,723321.39,0,0,-115912.45,400493.26,0,6270688.49
048926,Benton Carroll Salem Local S,Ottawa,3595533.27,229697.08,0,-113304.2,-243590.41,624932.53,0,4093268.27
048934,Danbury Local SD,Ottawa,595380.4,285750.93,0,-54000,-76423.25,139894.82,20151.56,910754.46
048942,Genoa Area Local SD,Ottawa,5710722.08,721030.81,0,-14744.38,-202648.52,166861.03,0,6381221.02
048959,Middle Bass Local SD,Ottawa,0,0,0,0,0,0,0,0
048967,North Bass Local,Ottawa,19672.64,0,0,0,0,0,0,19672.64
048975,Put-In-Bay Local SD,Ottawa,72912.2,-28910.42,0,0,-12007.13,36000,0,67994.65
048991,Antwerp Local SD,Paulding,4632787.23,316672.96,0,-41310,-94538.2,88574.09,15521.36,4917707.44
049031,Wayne Trace Local SD,Paulding,5099613.3,133813.5,0,-50724.74,-136108.46,337707.71,0,5384301.31
049056,Northern Local SD,Perry,11560943.01,375960.54,0,-147016.85,-407279.14,259193.17,18520.77,11660321.5
049064,Southern Local SD,Perry,8574580.26,-421764.49,0,-8390.97,-148004.3,316473.08,9725.49,8322619.07
049080,Logan Elm Local SD,Pickaway,8123914.21,-41168.65,0,-79555,-311303.84,477779.18,0,8169665.9
049098,Teays Valley Local SD,Pickaway,21032798.02,62876.43,0,-202670.6,-705769.07,358480.1,155037.57,20700752.45
049106,Westfall Local SD,Pickaway,7555840.06,331681.07,0,-54000,-272438.78,535144.91,0,8096227.26
049122,Eastern Local SD,Pike,9828939.88,63734.62,0,-55966.52,-73408.33,499409.81,0,10262709.46
049130,Scioto Valley Local SD,Pike,10755374.47,-458546.9,0,-198625.55,-124418.01,639995.86,0,10613779.87
049148,Waverly City SD,Pike,14117515.58,119781.63,0,-19500,-295250.69,792974.69,0,14715521.21
049155,Western Local SD,Pike,9736320.64,-132060.95,0,-24969.94,-68819.59,295900.58,4285.12,9810655.86
049171,Aurora City SD,Portage,4832721.94,-78998.61,0,-237879,-224344.09,126986.21,40558.14,4459044.59
049189,Crestwood Local SD,Portage,10219031.81,-53734.36,0,-68939.86,-967902.7,297143.9,0,9425598.79
049197,Field Local SD,Portage,6871573.78,-184861.75,0,-228567.06,-836004.1,207944.28,0,5830085.15
049205,James A Garfield Local SD,Portage,6303615.72,1068653,0,-44310.21,-412024.37,521545.14,0,7437479.28
049213,Rootstown Local SD,Portage,5003548.13,141958.28,0,-86810.42,-1417036.84,83325.71,0,3724984.86
049221,Southeast Local SD,Portage,10173461.08,275530.57,0,-95144,-1085597.68,573179.86,0,9841429.83
049239,Streetsboro City SD,Portage,5500656.02,92370.74,0,-105226.84,-878533.85,342238.65,0,4951504.72
049247,Waterloo Local SD,Portage,5787618.9,-605424.22,0,-30305.34,-668874.8,150218.19,0,4633232.73
049270,National Trail Local SD,Preble,6539765.13,9661.79,0,-33730,-275430.24,479015.04,0,6719281.72
049288,Preble-Shawnee Local SD,Preble,8297030.6,-226104.49,0,0,-246059.4,337895.27,2880.28,8165642.26
049296,Twin Valley Community Local,Preble,4889606.6,320688.95,0,-4650,-227793.81,154019.82,0,5131871.56
049312,Columbus Grove Local SD,Putnam,5684735.94,-63463.26,0,0,-102029.86,178576.97,0,5697819.79
