fiscal_year,irn,district,enrolled_adm,special_education_1,special_education_2,special_education_3,special_education_4,special_education_5,special_education_6,english_learner_1,english_learner_2,english_learner_3,gifted_k_8,gifted_9_12,career_technical_1,career_technical_2,career_technical_3,career_technical_4,career_technical_5,school_buildings
2026,050534,Chippewa Local,1097.209376,26.20093,56.131222,4.829449,1.739174,4,14.869692,0,0,0,103.73547,94.936205,12.446305,2.983623,0,0.851851,0,4
2026,050542,Dalton Local,856.397391,7.581934,50.029707,4.13,1,6.144678,14.917869,8.138796,18,5,110.941174,65.61,0,0,0,0,0,3
2026,050559,Green Local,1018.294367,12.492783,72.307297,2,0,1,6.657681,3.35015,15.287464,5,117.329272,54.598585,6.31074,0,0,0,0,3
2026,050567,Norwayne Local,1223.970442,29.069431,119.076705,1.496162,0,5,14.376456,4.857119,4.957578,5.999999,128.525057,142.674319,11.553311,0,0,0,0.062963,3
2026,050575,Northwestern Local,1172.15576,20.421011,73.373626,5.423605,0.041303,3,8.239463,1.888008,1.867354,2,81.490786,72.037017,41.424375,0,0,0.555557,4.029056,3
2026,050583,Southeast Local,976.36712,21.123998,78.362407,12.878484,0.43172,12.294544,15.071349,5.34837,27.248149,4,69.801091,99.91185,0,0,15.252742,0,0,3
2026,050591,Triway Local,1376.91496,42.622744,144.060567,13.750196,0.543763,4.533918,15.110855,5.336,7.669285,2,139.502466,89.785229,26.248365,0,0,0,7.155006,4
2026,050617,Edgerton Local,504.481598,14.206135,46.932883,2.701214,0,1,10.779839,0,0.76944,0,50.652747,27.61,0,5.089347,0,0,0,2
2026,050625,Edon Northwest Local,484.150661,11.693257,49.532572,4.8384,0.342857,4.965485,5.152685,0.507429,0,0,32.262629,29.042969,8.799939,0,0,0.856658,0,2
2026,050633,Millcreek-West Unity Local,502.339111,16.338999,74.97595,2.692272,0,1,9.011915,0,0.426734,0,10.056502,15.893002,8.424758,0,0,0.037037,8.200864,2
2026,050641,North Central Local,482.326001,7.355708,61.185876,1.531269,0,2.615713,5.976826,4.432216,8.751898,1,16.941588,17,5.458287,0,0,0,5.534585,2
2026,050658,Stryker Local,335.098743,4.229295,38.943131,5.969212,0,2,3.15167,0,1,0,29.502854,21,8.048837,0,0,0,0.064815,2
2026,050674,Eastwood Local,1412.119433,30.274634,105.615371,5.47081,0.879927,8.545698,28.205119,0,1,0,136.672004,104.499999,17.103911,0,0,0,0,3
2026,050682,Elmwood Local,1051.45387,21.687986,131.195976,5.16302,1,6.693798,23.138162,0.104651,6,0,58.389559,36,17.681063,0,0,5.326992,3.834357,3
