irn,house_district,population,population_under_18,share
045278,079,15803,3385,1.0
045286,019,5957,1284,0.53589316
045286,035,5283,1076,0.4490818
045286,099,213,36,0.01502504
045294,093,7129,1537,1.0
045302,088,12431,2784,1.0
045310,084,6927,1937,1.0
045328,059,1717,236,0.16354816
045328,079,6331,1207,0.83645184
045336,080,4958,1186,1.0
045344,076,395,88,0.07068273
045344,087,4933,1157,0.92931727
045351,069,3691,923,0.73312153
045351,092,1506,336,0.26687847
045369,057,3122,557,1.0
045377,063,6224,1426,0.93939394
045377,090,462,92,0.06060606
045385,075,69,17,0.01523297
045385,088,5096,1099,0.98476703
045393,068,14422,3436,0.99191686
045393,069,102,28,0.00808314
045401,091,12347,3136,1.0
045419,081,409,122,0.0901034
045419,082,4872,1232,0.9098966
045427,058,53,2,0.00086806
045427,065,12969,2302,0.99913194
045435,027,6504,1615,0.48122765
045435,028,7179,1741,0.51877235
045443,059,369,104,0.10721649
045443,079,4048,866,0.89278351
045450,079,5363,1049,1.0
045468,067,6563,1418,0.81729107
045468,076,231,40,0.02305476
045468,098,1113,277,0.15965418
045476,086,34636,8245,1.0
045484,012,75,15,0.01296456
045484,085,4726,1142,0.98703544
045492,023,28332,5004,0.44583036
045492,057,32362,6207,0.5530114
045492,099,76,13,0.00115823
045500,027,27,5,0.00046637
045500,062,44631,10716,0.99953363
045518,080,9499,2018,1.0
045526,081,5569,1259,1.0
045534,087,7902,1679,1.0
045542,051,5339,1164,0.86542751
045542,095,25,2,0.00148699
045542,097,548,121,0.08996283
045542,098,289,58,0.04312268
045559,063,13517,3054,1.0
045567,064,8504,1570,1.0
045575,082,9764,2327,1.0
045583,044,2304,453,0.05531136
045583,075,30474,7737,0.94468864
045591,066,99,13,0.00855826
045591,077,6796,1506,0.99144174
045609,044,10500,1944,0.76175549
045609,075,3071,608,0.23824451
045617,080,15296,3520,1.0
045625,087,11376,2456,1.0
045633,084,6533,1762,0.99886621
045633,085,20,2,0.00113379
045641,081,10457,2542,1.0
045658,054,8568,1663,1.0
045666,072,3457,730,1.0
045674,071,4344,716,1.0
045757,078,5908,1432,1.0
045765,078,12101,2371,1.0
045773,078,18876,4332,1.0
045781,078,3660,824,1.0
045799,078,17056,3821,1.0
045807,078,4652,1167,0.90675991
045807,082,512,120,0.09324009
045823,067,6350,1407,0.93117141
045823,077,373,104,0.06882859
045831,054,57,5,0.00300842
045831,067,6717,1657,0.99699158
045856,065,3616,687,0.32268671
045856,099,7014,1442,0.67731329
045864,065,10060,2983,1.0
045872,065,11163,2492,0.98187549
045872,099,339,46,0.01812451
045880,065,8700,1998,1.0
045906,092,35,11,0.00497288
045906,094,10115,2156,0.97468354
045906,095,229,45,0.02034358
045914,094,5133,1054,0.64941466
045914,095,2709,569,0.35058534
045922,094,4134,947,0.96731359
045922,095,73,32,0.03268641
045948,084,3994,1140,0.90118577
045948,085,617,125,0.09881423
045955,084,4015,994,0.8875
045955,085,563,126,0.1125
045963,084,1936,488,1.0
045971,078,2634,579,0.98469388
045971,083,52,7,0.01190476
045971,084,12,2,0.00340136
045997,095,15541,2358,0.95465587
045997,096,570,112,0.04534413
046003,096,5051,892,1.0
046011,095,8637,1925,0.97320526
046011,096,191,53,0.02679474
046037,090,8604,2050,1.0
046037,091,31,0,0.0
046045,063,4591,1036,0.99233716
046045,071,21,8,0.00766284
046060,063,17273,4088,1.0
046078,063,1126,212,0.17277914
046078,090,5252,1015,0.82722086
046094,040,17703,4722,0.91618161
046094,046,2024,417,0.08090803
046094,047,79,15,0.00291036
046102,045,44846,9870,0.64224362
046102,047,23433,5498,0.35775638
046110,045,60325,14609,0.5361888
046110,046,43892,12637,0.4638112
046128,040,254,103,0.05301081
046128,046,8009,1840,0.94698919
046136,046,3838,848,0.9837587
046136,047,48,14,0.0162413
046144,045,13175,3238,0.8178833
046144,047,3060,721,0.1821167
046151,040,3821,860,0.18040696
046151,047,33496,3907,0.81959304
046177,050,45,11,0.01160338
046177,079,4812,937,0.98839662
046193,085,11312,2595,1.0
046201,085,5304,1253,0.94210526
046201,086,328,77,0.05789474
046219,085,5974,1423,1.0
046235,071,12042,2488,1.0
046243,074,18399,4206,0.98894898
046243,080,205,47,0.01105102
046250,071,3249,666,0.14842879
046250,074,19727,3773,0.84087363
046250,085,191,48,0.01069757
046268,074,10853,2342,0.99744463
046268,085,42,6,0.00255537
046276,071,4293,1000,1.0
