edition	fund	ali	name	legal_basis
2006	GRF	200901	Property Tax Allocation - Education	ORC 319.301 and 323.151 through 323.157; Section 206.09.48 of Am. Sub. H.B. 66 of the 126th G.A.
2006	GRF	200906	Tangible Tax Exemption-Education	ORC 5709.01; Section 206.09.48 of Am. Sub. H.B. 66 of the 126th G.A.
2006	138	200606	Computer Services - Operational Support	Section 206.09 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Controlling Board on July 20, 1961)
2006	452	200638	Miscellaneous Educational Services	Section 206.09 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Controlling Board on April 13, 1972)
2006	4D1	200602	Ohio Prevention/Education Resource Center	Section 206.09 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Controlling Board on September 21, 1992)
2006	4L2	200681	Teacher Certification and Licensure	Section 206.09.51 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Am. Sub. H.B. 152 of the 120th G.A.)
2006	596	200656	Ohio Career Information System	Section 206.09 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Am. Sub. H.B. 238 of the 116th G.A.)
2006	5B1	200651	Child Nutrition Services	Discontinued line item (originally established by Am. Sub. H.B. 282 of the 123rd G.A.)
2006	5H3	200687	School District Solvency Assistance	ORC 3316.20 (originally established by Am. Sub. H.B. 650 of the 122nd G.A.)
2006	309	200601	Educationally Disadvantaged	Section 206.09 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Controlling Board on March 28, 1966)
2006	366	200604	Adult Basic Education	Section 206.09 of Am. Sub. H.B. 66 of the 126th G.A. (authorized by Adult Education and Family Literacy Act, Title II of Public Law 105-220, The Workforce Investment Act of 1998).
2006	367	200607	School Food Services	Section 206.09 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Controlling Board on October 27, 1967)
2006	368	200614	Veterans' Training	Section 206.09 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Controlling Board on August 18, 1965; authorized by Title 38, US Code, Veterans Benefits; Chapter 36, Subchapter 1, State Approving Agencies)
2006	369	200616	Career-Technical Education Federal Enhancement	Section 206.09 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Controlling Board on September 23, 1964)
2006	370	200624	Education of Exceptional Children	Section 206.09 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Controlling Board on May 9, 1968)
2006	371	200631	Immigrant Education Opportunities	Section 206.09 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Controlling Board on August 24, 1971)
2006	374	200647	Troops to Teachers	Section 206.09 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Controlling Board in FY 1976)
2006	378	200660	Learn and Serve	Section 206.09 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Controlling Board on July 29, 1985)
2006	3AF	200603	School Medicaid Administrative Claims	Section 206.09 of Am. Sub. H.B. 66 of the 126th G.A. (Originally established by Controlling Board on September 22, 2003)
2006	3AK	200692	State Homeland Security	Discontinued line item (originally established by Controlling Board on February 9, 2004)
2006	3C5	200661	Early Childhood Education	Section 206.09 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Controlling Board on November 11, 1986)
2006	3D1	200664	Drug Free Schools	Section 206.09 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Controlling Board on May 4, 1987)
2006	3D2	200667	Honors Scholarship Program	Section 206.09 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Controlling Board on April 20, 1987)
2006	3E2	200668	AIDS Education Project	Discontinued line item (originally established by Controlling Board on December 7, 1987)
2006	3H9	200605	Head Start Collaboration Project	Section 206.09 of Am. Sub. H.B. 66 of the 126th G.A. (authorized by the Human Services Amendment Act of 1994, Public Law 103-252)
2006	3L6	200617	Federal School Lunch	Section 206.09 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Am. Sub. H.B. 152 of the 120th G.A.)
2006	3L7	200618	Federal School Breakfast	Section 206.09 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Am. Sub. H.B. 152 of the 120th G.A.)
2006	3L8	200619	Child/Adult Food Programs	Section 206.09 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Am. Sub. H.B. 152 of the 120th G.A.)
2006	3L9	200621	Career-Technical Education Basic Grants	Section 206.09 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Am. Sub. H.B. 152 of the 120th G.A.)
2006	3M0	200623	ESEA Title 1A	Section 206.09 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Am. Sub. H.B. 152 of the 120th G.A.)
2006	3M1	200678	Innovative Education	Section 206.09 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Am. Sub. H.B. 152 of the 120th G.A. and authorized by ESEA, Public Law 100-297)
2006	3M2	200680	Individuals with Disabilities Education Act	Section 206.09 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Am. Sub. H.B. 152 of the 120th G.A.)
2006	3N7	200627	School-To-Work	Discontinued line item (originally established by Am. Sub. H.B. 152 of the 120th G.A. and authorized by the Job Training Partnership Act of 1982, as amended; Public Law 102-367)
2006	3R3	200654	Goals 2000	Discontinued line item (originally established by Controlling Board on October 2, 1996)
2006	3S2	200641	Education Technology	Section 206.09 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Controlling Board on June 22, 1998)
2006	3T4	200613	Public Charter Schools	Section 206.09 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Controlling Board on December 7, 1998)
2006	3T6	200611	Class Size Reduction	Discontinued line item (originally established by Controlling Board on August 21, 2000)
2006	3U2	200662	Teacher Quality Enhancement Grants	Section 206.09 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Controlling Board on July 1, 2000)
2006	3U3	200665	Reading Excellence Grant Program	Discontinued line item (originally established by Controlling Board on June 9, 2000)
2006	3U6	200675	Provision 2 & 3 Grant	Discontinued line item (originally established by Controlling Board on August 14, 2000)
2006	3X5	200684	School Renovation/IDEA	Section 206.09 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Controlling Board on October 29, 2001)
2006	3Y2	200688	21st Century Community Learning Centers	Section 206.09 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Controlling Board on July 29, 2002)
2006	3Y4	200632	Reading First	Section 206.09.51 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Controlling Board on July 29, 2002)
2006	3Y5	200634	Community Service Grants	Section 206.09 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Controlling Board on November 18, 2002)
