chamber,irn,district,population,population_under_18,share
house,045252,094,326,72,0.05844156
house,045252,095,7922,1160,0.94155844
house,045260,087,4924,1175,0.96548891
house,045260,088,216,42,0.03451109
house,045278,079,15803,3385,1.0
house,045286,019,5957,1284,0.53589316
house,045286,035,5283,1076,0.4490818
house,045286,099,213,36,0.01502504
house,045294,093,7129,1537,1.0
house,045302,088,12431,2784,1.0
house,045310,084,6927,1937,1.0
house,045328,059,1717,236,0.16354816
house,045328,079,6331,1207,0.83645184
house,045336,080,4958,1186,1.0
house,045344,076,395,88,0.07068273
house,045344,087,4933,1157,0.92931727
house,045351,069,3691,923,0.73312153
house,045351,092,1506,336,0.26687847
house,045369,057,3122,557,1.0
house,045377,063,6224,1426,0.93939394
house,045377,090,462,92,0.06060606
house,045385,075,69,17,0.01523297
house,045385,088,5096,1099,0.98476703
house,045393,068,14422,3436,0.99191686
house,045393,069,102,28,0.00808314
house,045401,091,12347,3136,1.0
house,045419,081,409,122,0.0901034
house,045419,082,4872,1232,0.9098966
house,045427,058,53,2,0.00086806
house,045427,065,12969,2302,0.99913194
house,045435,027,6504,1615,0.48122765
house,045435,028,7179,1741,0.51877235
house,045443,059,369,104,0.10721649
house,045443,079,4048,866,0.89278351
house,045450,079,5363,1049,1.0
house,045468,067,6563,1418,0.81729107
house,045468,076,231,40,0.02305476
house,045468,098,1113,277,0.15965418
house,045476,086,34636,8245,1.0
house,045484,012,75,15,0.01296456
house,045484,085,4726,1142,0.98703544
house,045492,023,28332,5004,0.44583036
house,045492,057,32362,6207,0.5530114
house,045492,099,76,13,0.00115823
house,045500,027,27,5,0.00046637
house,045500,062,44631,10716,0.99953363
house,045518,080,9499,2018,1.0
house,045526,081,5569,1259,1.0
house,045534,087,7902,1679,1.0
house,045542,051,5339,1164,0.86542751
house,045542,095,25,2,0.00148699
house,045542,097,548,121,0.08996283
house,045542,098,289,58,0.04312268
house,045559,063,13517,3054,1.0
house,045567,064,8504,1570,1.0
house,045575,082,9764,2327,1.0
house,045583,044,2304,453,0.05531136
house,045583,075,30474,7737,0.94468864
house,045591,066,99,13,0.00855826
house,045591,077,6796,1506,0.99144174
house,045609,044,10500,1944,0.76175549
house,045609,075,3071,608,0.23824451
house,045617,080,15296,3520,1.0
house,045625,087,11376,2456,1.0
house,045633,084,6533,1762,0.99886621
house,045633,085,20,2,0.00113379
house,045641,081,10457,2542,1.0
house,045658,054,8568,1663,1.0
house,045666,072,3457,730,1.0
house,045674,071,4344,716,1.0
house,045757,078,5908,1432,1.0
house,045765,078,12101,2371,1.0
