chamber,irn,district,population,population_under_18,share
senate,047241,010,55816,12509,0.9662444
senate,047258,010,6628,903,1.0
senate,047266,010,8184,1901,0.99842437
senate,047266,017,11,3,0.00157563
senate,047274,007,17,0,0.0
senate,047274,010,17284,4285,1.0
senate,047308,030,2833,553,0.23632479
senate,047308,031,8443,1787,0.76367521
senate,047332,008,10769,2274,1.0
senate,047340,008,46790,12025,0.99975058
senate,047340,009,20,3,0.00024942
senate,047365,004,86,13,0.00078635
senate,047365,007,5603,1279,0.07736511
senate,047365,008,69868,15238,0.92172756
senate,047365,009,15,2,0.00012098
senate,047373,008,65148,14766,1.0
senate,047381,004,486,96,0.013907
senate,047381,008,26687,6807,0.986093
senate,047399,008,16050,3769,1.0
senate,047415,001,2968,583,1.0
senate,047423,001,3512,943,1.0
senate,047431,001,4026,1043,1.0
senate,047449,001,7136,1801,1.0
senate,047456,001,3117,845,0.81563707
senate,047456,002,642,191,0.18436293
senate,047464,001,7202,1485,1.0
senate,047472,001,1379,312,0.82105263
senate,047472,026,237,68,0.17894737
senate,047498,001,2729,595,1.0
senate,047506,001,3469,1037,1.0
senate,047514,001,4173,1033,0.73891273
senate,047514,026,1433,365,0.26108727
senate,047522,001,4009,902,0.99889258
senate,047522,012,7,1,0.00110742
senate,047548,030,1375,285,0.48060708
senate,047548,033,1740,308,0.51939292
senate,047571,001,2398,590,1.0
senate,047589,001,5551,1341,1.0
senate,047597,001,5178,1272,0.99065421
senate,047597,002,49,12,0.00934579
senate,047613,014,111,31,0.02622673
senate,047613,017,4833,1151,0.97377327
senate,047621,017,4958,1324,1.0
senate,047639,010,398,91,0.05928339
senate,047639,014,8,3,0.0019544
senate,047639,017,6006,1441,0.93876221
senate,047688,019,22256,7887,0.99307479
senate,047688,031,132,55,0.00692521
senate,047696,019,18230,4739,0.9759061
senate,047696,022,83,13,0.0026771
senate,047696,031,334,104,0.0214168
senate,047712,002,246,35,0.03950339
senate,047712,013,3672,851,0.96049661
senate,047720,013,5947,1298,0.99846154
senate,047720,022,6,2,0.00153846
senate,047738,013,4764,1308,0.97032641
senate,047738,022,112,40,0.02967359
senate,047746,002,2774,643,0.44162088
senate,047746,013,3856,813,0.55837912
senate,047761,017,7345,1831,1.0
senate,047787,030,13554,2552,1.0
senate,047795,030,13470,2582,0.97765998
senate,047795,033,295,59,0.02234002
senate,047803,030,18543,3462,1.0
senate,047829,019,6420,1575,0.97462871
senate,047829,020,166,41,0.02537129
senate,047837,019,4020,1244,1.0
senate,047845,019,9610,2383,0.96166263
senate,047845,020,349,95,0.03833737
senate,047852,019,7749,1991,0.99899649
senate,047852,026,2,2,0.00100351
senate,047878,018,7918,1651,0.99517782
senate,047878,032,52,8,0.00482218
senate,047886,018,18492,3854,0.99689602
senate,047886,032,60,12,0.00310398
senate,047894,018,37419,7625,0.99660175
senate,047894,032,153,26,0.00339825
senate,047902,018,8862,1979,1.0
senate,047928,017,5898,1347,1.0
senate,047936,017,10480,2168,1.0
senate,047944,017,8568,2012,1.0
senate,047951,017,11970,2537,1.0
senate,047969,017,4185,964,1.0
senate,047985,019,105,34,0.01344405
senate,047985,020,10596,2495,0.98655595
senate,047993,020,14207,2726,1.0
senate,048009,003,190,50,0.00614779
senate,048009,015,6297,2024,0.24886266
senate,048009,016,12117,3493,0.42948481
senate,048009,020,10544,2566,0.31550473
senate,048017,020,10661,2670,0.99813084
senate,048017,031,15,5,0.00186916
senate,048025,019,2269,567,0.2264377
senate,048025,020,8726,1937,0.7735623
senate,048033,019,553,145,0.07770632
senate,048033,020,8238,1721,0.92229368
senate,048041,020,28379,7133,1.0
senate,048074,001,5592,1375,0.53564472
senate,048074,012,5435,1157,0.45072069
senate,048074,026,138,35,0.01363459
senate,048082,001,10548,1932,0.89944134
senate,048082,012,1002,216,0.10055866
senate,048090,012,3697,905,1.0
senate,048116,013,24847,7050,1.0
senate,048124,013,24824,5801,1.0
senate,048132,013,6181,1403,1.0
senate,048140,013,6667,1161,1.0
senate,048157,002,2260,401,0.1858202
senate,048157,013,9209,1757,0.8141798
senate,048165,013,11390,2323,1.0
senate,048173,013,23668,3998,1.0
senate,048207,002,31836,7196,0.98561841
senate,048207,011,434,105,0.01438159
senate,048215,011,4972,1385,1.0
senate,048223,002,108,29,0.00465639
senate,048223,011,30416,6199,0.99534361
senate,048231,011,47681,10480,1.0
senate,048256,003,7105,1570,1.0
senate,048264,003,8599,2253,0.68417856
senate,048264,016,42,11,0.00334042
senate,048264,026,3748,1029,0.31248102
senate,048272,003,13239,1979,0.99297541
senate,048272,017,64,14,0.00702459
senate,048298,033,35446,6315,1.0
senate,048306,033,36493,6741,1.0
senate,048314,033,19465,3960,1.0
senate,048322,032,133,29,0.0270775
senate,048322,033,5840,1042,0.9729225
senate,048330,033,1895,354,1.0
senate,048348,033,15060,2869,1.0
senate,048355,033,4172,739,1.0
senate,048363,033,7110,1427,1.0
senate,048371,033,8210,1392,1.0
senate,048389,027,83,2,0.00080483
senate,048389,033,12259,2483,0.99919517
senate,048397,033,3903,682,1.0
senate,048413,001,144,62,0.04332635
senate,048413,019,147,34,0.02375961
senate,048413,026,6537,1335,0.93291405
senate,048421,026,8663,1724,1.0
senate,048439,026,4517,955,1.0
senate,048447,026,16825,2525,1.0
senate,048462,013,1361,250,0.09796238
senate,048462,022,8686,2302,0.90203762
senate,048470,013,10,1,0.00031387
senate,048470,022,15384,3185,0.99968613
senate,048488,022,19687,3688,1.0
senate,048496,022,19779,4837,0.9819326
senate,048496,027,314,89,0.0180674
senate,048512,030,5018,1063,1.0
senate,048520,030,11326,2431,1.0
senate,048538,030,4646,955,1.0
senate,048553,012,4045,1270,1.0
senate,048579,001,1021,273,0.18458418
senate,048579,012,4905,1206,0.81541582
senate,048587,012,4768,1356,1.0
senate,048595,012,4113,1225,1.0
senate,048611,005,10185,2580,1.0
senate,048629,005,8455,1955,0.99846782
senate,048629,012,15,3,0.00153218
senate,048637,005,3349,831,1.0
senate,048652,030,16400,3135,1.0
senate,048678,005,9696,2126,0.99671824
senate,048678,006,52,7,0.00328176
senate,048686,006,5568,1012,1.0
senate,048694,005,544,155,0.03327608
senate,048694,006,19179,4503,0.96672392
senate,048702,005,2,0,0.0
senate,048702,006,21227,4979,1.0
senate,048710,005,6267,1399,0.92710404
senate,048710,006,519,110,0.07289596
senate,048728,005,34543,7282,0.99726102
senate,048728,006,82,20,0.00273898
senate,048736,005,7389,1807,0.75103907
senate,048736,006,2533,599,0.24896093
senate,048744,005,10951,2645,0.99473486
senate,048744,006,24,14,0.00526514
senate,048751,005,37786,8686,0.8803081
senate,048751,006,4686,1181,0.1196919
senate,048777,030,12978,2642,1.0
senate,048793,026,6484,1516,1.0
senate,048801,019,325,59,0.0243701
senate,048801,026,10102,2362,0.9756299
senate,048819,022,343,99,0.0514553
senate,048819,026,7563,1825,0.9485447
senate,048835,031,13037,2862,1.0
senate,048843,020,1418,376,0.1298791
senate,048843,031,11129,2519,0.8701209
senate,048850,031,10344,2232,1.0
senate,048876,019,563,160,0.03701133
senate,048876,031,16886,4163,0.96298867
senate,048884,020,920,171,0.06261443
senate,048884,031,13113,2560,0.93738557
senate,048900,030,6075,1581,1.0
senate,048926,002,9963,2077,1.0
senate,048934,002,4943,600,1.0
senate,048942,002,8427,1790,1.0
senate,048975,002,677,77,1.0
senate,048991,001,3832,938,1.0
senate,049031,001,5331,1306,1.0
senate,049056,020,14408,3402,1.0
senate,049064,017,4373,1012,1.0
senate,049080,003,9218,1885,0.70731707
senate,049080,017,3726,780,0.29268293
senate,049098,003,24873,5847,0.97158524
senate,049098,020,739,171,0.02841476
senate,049106,003,8280,1850,1.0
senate,049122,014,550,130,0.10869565
senate,049122,017,4287,1066,0.89130435
senate,049130,014,66,24,0.01232033
senate,049130,017,8180,1924,0.98767967
senate,049148,017,11140,2549,1.0
senate,049155,017,4284,1134,1.0
senate,049171,027,17955,3943,1.0
senate,049189,027,13650,2373,1.0
senate,049197,027,17494,3276,1.0
senate,049205,027,8699,1878,1.0
senate,049213,027,8699,1763,1.0
senate,049221,027,11127,2273,1.0
senate,049239,027,17069,3299,1.0
senate,049247,027,7937,1664,1.0
senate,049270,005,6665,1488,1.0
senate,049288,005,8959,2053,1.0
senate,049296,005,5491,1264,1.0
senate,049312,001,4631,1204,0.9039039
senate,049312,012,489,128,0.0960961
senate,049320,001,3369,813,1.0
senate,049338,001,1934,478,1.0
senate,049346,001,3444,836,1.0
senate,049353,001,3670,949,1.0
senate,049361,001,2046,586,1.0
senate,049379,001,9180,2376,1.0
senate,049387,001,2651,628,1.0
senate,049395,001,3463,877,0.99659091
senate,049395,012,39,3,0.00340909
senate,049411,019,910,323,0.12347095
senate,049411,022,9842,2293,0.87652905
senate,049429,022,7324,2108,1.0
senate,049437,022,16052,3501,0.93986577
senate,049437,026,1023,224,0.06013423
senate,049445,022,3420,731,1.0
senate,049452,022,27167,4691,1.0
senate,049460,013,890,214,0.15643275
senate,049460,022,4124,1144,0.83625731
senate,049460,026,47,10,0.00730994
senate,049478,022,11380,2377,1.0
senate,049494,003,73,15,0.00861574
senate,049494,017,6948,1726,0.99138426
senate,049502,017,6069,1446,1.0
senate,049510,017,5997,1279,1.0
senate,049528,017,6182,1374,1.0
senate,049536,017,15901,2710,1.0
senate,049544,017,9400,2013,1.0
senate,049569,002,2394,608,0.39868852
senate,049569,026,4266,917,0.60131148
senate,049577,002,2973,626,0.44971264
senate,049577,026,3515,766,0.55028736
senate,049593,014,4482,1000,1.0
senate,049601,014,3510,706,1.0
senate,049619,014,4107,864,1.0
senate,049627,014,7628,1777,1.0
senate,049635,014,9382,2038,1.0
senate,049643,014,6199,1079,1.0
senate,049650,014,7564,1720,1.0
senate,049668,014,8503,1836,1.0
senate,049684,013,626,147,0.12940141
senate,049684,026,4351,989,0.87059859
senate,049700,026,4274,982,1.0
senate,049718,026,1856,455,1.0
senate,049726,026,3116,692,1.0
senate,049759,012,5297,1339,1.0
senate,049767,012,2296,585,1.0
senate,049775,012,2077,480,1.0
senate,049783,012,4070,1129,1.0
senate,049791,012,4689,1181,1.0
senate,049809,001,110,30,0.04310345
senate,049809,012,2495,666,0.95689655
senate,049817,012,1836,514,1.0
senate,049833,029,10752,2110,0.87515554
senate,049833,031,1593,301,0.12484446
senate,049841,029,124,32,0.01277955
senate,049841,031,12043,2472,0.98722045
senate,049858,029,40535,8625,1.0
senate,049866,027,37,2,0.00041034
senate,049866,029,20214,4872,0.99958966
senate,049874,029,18809,4016,1.0
senate,049882,029,14891,2884,1.0
senate,049890,029,5888,1250,0.48487199
senate,049890,033,5894,1328,0.51512801
senate,049908,028,1982,365,0.13931298
senate,049908,029,11094,2246,0.85725191
senate,049908,031,70,9,0.00343511
senate,049916,029,5221,1073,1.0
senate,049916,033,1,0,0.0
senate,049924,029,30454,6053,1.0
senate,049932,029,48655,9534,1.0
senate,049940,029,3411,726,0.43086053
senate,049940,031,3561,729,0.43264095
senate,049940,033,1061,230,0.13649852
senate,049957,029,5448,1187,0.59113546
senate,049957,031,3787,821,0.40886454
senate,049973,027,12413,2443,0.718107
senate,049973,028,7063,959,0.281893
senate,049981,027,13516,2928,0.66035183
senate,049981,028,8436,1506,0.33964817
senate,049999,027,411,123,0.06243655
senate,049999,028,12212,1847,0.93756345
senate,050005,028,8746,1746,1.0
senate,050013,028,27492,6103,1.0
senate,050021,027,2303,615,0.09390747
senate,050021,028,23074,5934,0.90609253
senate,050039,027,1345,242,0.27468785
senate,050039,028,2799,639,0.72531215
senate,050047,027,32877,5895,1.0
senate,050054,027,20028,4294,0.91361702
senate,050054,028,1953,406,0.08638298
senate,050062,027,374,57,0.01684895
senate,050062,028,18074,3326,0.98315105
senate,050070,027,27452,6245,1.0
senate,050096,032,4396,1610,1.0
senate,050112,032,5708,1605,1.0
senate,050120,032,8447,1413,1.0
senate,050138,032,9385,1820,1.0
senate,050153,032,6861,1087,1.0
senate,050161,032,22153,3825,1.0
senate,050179,032,5957,1094,1.0
senate,050187,032,12664,2391,1.0
senate,050195,032,11916,2180,1.0
senate,050203,032,3332,582,1.0
senate,050211,032,5065,921,1.0
senate,050229,032,3817,816,1.0
senate,050237,032,3720,802,1.0
senate,050245,032,8198,1318,1.0
senate,050252,032,4812,861,0.87234043
senate,050252,033,602,126,0.12765957
senate,050278,019,1828,690,0.18883415
senate,050278,031,9764,2964,0.81116585
senate,050286,031,10188,2303,1.0
senate,050294,031,4670,892,1.0
senate,050302,031,10182,2092,1.0
senate,050328,003,596,161,0.09247559
senate,050328,026,6330,1580,0.90752441
senate,050336,019,304,67,0.03394124
senate,050336,026,7905,1907,0.96605876
senate,050351,001,4632,1125,1.0
senate,050369,001,4321,1108,1.0
senate,050393,017,12746,2792,1.0
senate,050419,005,42,8,0.00352734
senate,050419,006,1290,296,0.13051146
senate,050419,007,8926,1964,0.8659612
senate,050427,006,902,295,0.03044376
senate,050427,007,34052,9395,0.96955624
senate,050435,007,30187,7495,1.0
senate,050443,007,36574,9333,0.99871589
senate,050443,014,48,12,0.00128411
senate,050450,004,868,189,0.01298166
senate,050450,007,53673,14370,0.98701834
senate,050468,007,9235,2156,0.9862763
senate,050468,010,112,30,0.0137237
senate,050484,030,5931,1347,1.0
senate,050492,030,4679,928,1.0
senate,050500,030,14279,3024,1.0
senate,050518,030,3397,808,1.0
senate,050534,031,9068,1813,1.0
senate,050542,031,7644,2144,1.0
senate,050559,031,7001,1650,1.0
senate,050567,022,129,27,0.01378254
senate,050567,031,8038,1932,0.98621746
senate,050575,022,464,148,0.07411117
senate,050575,031,7462,1849,0.92588883
senate,050583,019,2969,940,0.14148104
senate,050583,031,15665,5704,0.85851896
senate,050591,019,142,37,0.01237872
senate,050591,031,13273,2952,0.98762128
senate,050617,001,3800,851,1.0
senate,050625,001,3221,773,1.0
senate,050633,001,3589,787,1.0
senate,050641,001,4094,952,1.0
senate,050658,001,3494,681,1.0
senate,050674,002,8774,1977,1.0
senate,050682,001,92,26,0.01670951
senate,050682,002,6061,1530,0.98329049
senate,050690,002,11632,2371,1.0
senate,050708,001,26,9,0.00896414
senate,050708,002,4161,995,0.99103586
senate,050716,002,5114,1093,1.0
senate,050724,001,298,68,0.03019538
senate,050724,002,9480,2184,0.96980462
senate,050740,026,5803,1173,1.0
senate,061903,014,22770,5475,0.97229622
senate,061903,017,666,156,0.02770378
senate,064964,004,188,45,0.25714286
senate,064964,005,459,130,0.74285714
senate,065680,017,15124,3739,1.0
senate,069682,030,7369,1742,0.99942628
senate,069682,031,12,1,0.00057372
senate,091397,005,5582,1219,1.0
senate,139303,004,15671,4333,0.99380734
senate,139303,007,118,27,0.00619266
