irn,district,enrolled_adm,base_cost_enrolled_adm,aggregate_base_cost,base_cost_per_pupil,capacity_per_pupil,state_share_percentage,valuation_per_pupil,local_capacity_percentage,benchmark_ratio,dpia_econ_disadvantaged_adm,dpia_directly_certified_adm,dpia_weighted_adm,dpia_percentage,dpia_aid,trans_reported_sped_cost,trans_special_education,trans_total,funding_base,foundation_calculated,foundation_phase_in,foundation_funding,temp_transitional_aid_guarantee,transportation,formula_transition_supplement,base_funding_supplement,enrollment_growth_supplement,total_formula_funding,performance_supplement,preschool_special_education,special_education_transportation,total_state_support
046789,Edison Local (formerly Berlin-Milan),1284.7723,1310.32,10771609.92,8220.59,6005.35,0.2694744,295015.77,0.022588382242,1.46670942,1263.7112,414.8138,1051.4868,0.818423,927799.32,331331.7,151849.318109999993,870362.945199999958,5012571.58,4362889.76,-541379.86,4471191.72,541379.86,870362.95,0,34688.85,0,5917623.37,66808.16,136522.17,151849.32,6272803.02
046797,Kelleys Island Local,5,5.8,1948230.84,335901.87,304843.23,0.1,19929214.94,0.02369154698,1.46670942,0,0,0,0,0,0,0,0,10248.43,177363.56,139257.04,149505.47,0,0,0,135,0,149640.47,0,0,0,149640.47
046805,Margaretta Local,930.4355,951.47,8103727.85,8517.06,6961.68,0.1826193,377493.2,0.021946638825,1.46670942,408.2005,290.3192,378.7302,0.407046,82663.05,443272.2,203151.649260000006,590660.482623999938,3939275.26,2171856.41,-1472790.13,2466485.13,1472790.13,590660.48,0,25121.76,0,4555057.51,48382.65,211015.3,203151.65,5017607.1
046813,Perkins Local,1730.064,1749.98,14145005.63,8082.95,7193.72,0.110013,362963.08,0.022551426217,1.46670942,587.1233,460.1834,555.3883,0.321022,75398.18,129127.95,59179.339485000004,712183.212228571298,3793078.68,1863318.11,-1608069.48,2185009.2,1608069.48,712183.21,0,46711.73,0,4551973.62,89963.33,123786.63,59179.34,4824902.91
046821,Vermilion Local,1515.0657,1578.26,12757671.59,8083.38,7841.04,0.1000003,379502.41,0.0225,1.46670942,686.3693,523.1437,645.5629,0.426096,154400.27,147264.6,67491.366179999997,622799.536229999969,3825657.96,1597750.79,-1856515.05,1969142.91,1856515.05,622799.54,0,40906.77,0,4489364.27,68935.49,129118.65,67491.37,4754909.78
046847,Amanda-Clearcreek Local,1423.9471,1441.84,11781501.82,8171.16,4645.56,0.4314676,214578.04,0.023158026251,1.46670942,605.9163,493.2176,577.7416,0.405733,125287.83,233245.95,106896.618885000004,963632.154142857064,8711330.5,8222889.81,-407017.63,8304312.87,407017.63,963632.15,234705.08,38446.57,0,9948114.3,55533.94,144365.01,106896.62,10254909.87
046854,Berne Union Local,773.9501,785,6932683.53,8831.44,7335.72,0.1693641,419585.94,0.022560691243,1.46670942,307.3732,281.1791,300.8247,0.388687,59869.84,418591.95,191840.690685000009,553440.147200000007,4029887.3,2145849.49,-1569968.71,2459918.59,1569968.71,553440.15,0,20896.65,0,4604224.1,35214.73,39105.8,191840.69,4870385.32
046862,Bloom-Carroll Local,2287.0748,2287.0748,18529639.43,8101.89,6093.08,0.2479432,258179.73,0.024857589011,1.46670942,502.141,404.6198,477.7607,0.208896,27464.09,427390.95,195873.272384999989,1270674.976000000257,4327402.24,6704149.65,1980543.62,6307945.86,0,1270674.98,0,61751.02,0,7640371.85,118927.89,194212.34,195873.27,8149385.35
046870,Fairfield Union Local,1873.0001,1901.28,15492192.35,8148.3,4377.63,0.4627556,208217.54,0.022963980832,1.46670942,1862.5403,649.2236,1559.2112,0.832467,1423421.58,209468.7,96932.813949720003,1171285.086403960362,9293054.41,11856416,2136049.21,11429103.62,0,1171285.09,0,50571,0,12650959.71,97396.01,238973.43,96932.81,13084261.96
046888,Liberty Union-Thurston Local,1146.4291,1171.61,9735010.46,8309.09,5630.94,0.3223146,258200.82,0.023362898214,1.46670942,434.9553,370.5798,418.8614,0.365362,73656.6,245529.9,112526.353170000002,651201.720515384688,6186638.82,5102955.1,-903033.64,5283605.18,903033.64,651201.72,0,30953.59,0,6868794.13,67066.1,143214.32,112526.35,7191600.9
046896,Pickerington Local,11185.5985,11185.5985,90406438.94,8082.4,4470.51,0.4468836,186575.4,0.023795856745,1.46670942,11123.8193,3420.5874,9198.0113,0.822308,8193274.98,3367263.9,1543217.045370000182,3861269.25,49987267.69,73452680.66,19553728.63,69540996.32,0,3861269.25,0,302011.16,2516759.66,76221036.39,581651.12,1621552.41,1543217.05,79967456.97
046904,Walnut Township Local,475.7485,483.1,4997860.4,10345.4,10261.08,0.1,538471.72,0.023067457852,1.46670942,467.3385,215.6455,404.4153,0.850061,384965.94,106061.55,48608.008365000002,152345.782584615343,1117106.2,1422006.45,254073.37,1371179.57,0,152345.78,0,12845.21,0,1536370.57,0,46240.84,48608.01,1631219.41
