irn,name,county,fiscal_year,unrestricted_aid,restricted_aid,property_tax,income_tax,property_tax_allocation,total_revenue,total_revenue_and_sources,total_expenditure,beginning_cash,ending_cash
050419,Carlisle Local,Warren,2025,10280604,25562,6252683,3711489,806799,22939075,22939075,23750713,11216814,10405176
050427,Springboro Community City,Warren,2020,15713554,9194,27589335,0,3901149,54269231,54577924,54982178,11006080,10601826
050427,Springboro Community City,Warren,2021,16141738,285869,28256069,0,3972827,57642205,57805624,56436754,10601826,11970696
050427,Springboro Community City,Warren,2022,14402516,1352672,30655768,0,4310747,57725889,58219314,58052867,11970696,12137143
050427,Springboro Community City,Warren,2023,14559357,1143899,33006253,0,4671522,62214373,62240192,60576390,12137300,13801102
050427,Springboro Community City,Warren,2024,15037240,1309477,34138656,0,4797150,62920214,63289730,64075017,13801102,13015815
050427,Springboro Community City,Warren,2025,15699735,1247767,38509802,0,5421439,70120885,70505396,68701571,13015815,14819640
050435,Kings Local,Warren,2020,9879282,18366,32433316,0,3566344,52047277,52301658,53942594,16339971,14699035
050435,Kings Local,Warren,2021,10464042,16070,34676525,0,3237615,54135257,54906680,57023205,14699035,12582510
050435,Kings Local,Warren,2022,10116323,571223,37026207,0,3322203,56509553,57408313,58557992,12582510,11432831
050435,Kings Local,Warren,2023,10465443,551834,41361311,0,3449631,61451588,61732199,61949732,11432831,11215298
050435,Kings Local,Warren,2024,11687530,814130,45532049,0,3534956,69381913,70346400,68283166,11215298,13278533
050435,Kings Local,Warren,2025,11906849,906546,46430524,0,3644184,69898230,71579895,69562947,13278533,15295481
050443,Little Miami Local,Warren,2020,13273702,188069,28310607,0,4240504,49337614,49337614,51114943,34310409,32533080
050443,Little Miami Local,Warren,2021,14041390,174430,28649936,0,4186766,49780268,49805149,51819665,32533080,30518564
050443,Little Miami Local,Warren,2022,12426564,459496,30521348,0,4416819,50876518,50876518,51073353,30518564,30321729
050443,Little Miami Local,Warren,2023,11925700,960364,32668277,0,4744781,55133623,55156332,55036291,30321728,30441769
050443,Little Miami Local,Warren,2024,12581953,1101207,34059887,0,4877230,59426628,59426628,60717231,30441769,29151166
050443,Little Miami Local,Warren,2025,13591045,1359307,37801645,0,5424097,64789630,64789630,66015748,29151166,27925048
050450,Mason City,Warren,2020,33420261,262822,55843460,0,7180037,107006194,107739499,117645502,33161631,23255628
050450,Mason City,Warren,2021,34367310,266103,66190837,0,6840249,115568817,117448725,119543157,23255628,21161196
050450,Mason City,Warren,2022,33945343,3071182,80519707,0,7078549,130895571,132765536,120878514,21161196,33048218
050450,Mason City,Warren,2023,33884560,2812735,89043337,0,7316465,140896862,141384399,128558428,33048220,45874191
050450,Mason City,Warren,2024,34282736,3174244,92119375,0,7464823,147970945,151261522,137754373,45874191,59381340
050450,Mason City,Warren,2025,35370213,2436375,94752366,0,7690679,151417357,153990843,152484579,59381340,60887603
050468,Wayne Local,Warren,2020,3955396,15116,7229213,0,1065763,14971322,14971322,14902743,15903185,15971764
050468,Wayne Local,Warren,2021,4129814,195451,7497457,0,1093121,16536254,16536254,15978144,15971764,16529874
050468,Wayne Local,Warren,2022,4355969,-84291,8272385,0,1182110,15815328,15815328,16667396,16529874,15677806
050468,Wayne Local,Warren,2023,4506038,381875,8870243,0,1272023,17264571,17814571,19830123,15677806,13662253
050468,Wayne Local,Warren,2024,4614267,349487,9084784,0,1291608,17372658,24770614,26792147,13662253,11640721
050468,Wayne Local,Warren,2025,4812893,290409,10045208,0,1425919,19984871,20106014,21329221,11640721,10417513
050484,Fort Frye Local,Washington,2020,4168728,153601,2065446,0,297515,15245467,15246350,11464922,9338238,13119666
050484,Fort Frye Local,Washington,2021,5038421,117488,2140664,0,302654,14617431,14617431,12237251,13119666,15499846
050484,Fort Frye Local,Washington,2022,4810136,403440,2141487,0,299113,14131145,14137200,15149660,15499846,14487386
050484,Fort Frye Local,Washington,2023,4971985,435828,2371967,0,313451,15305119,15305119,16182834,14487388,13609673
050484,Fort Frye Local,Washington,2024,5837726,524444,2262191,0,339231,17136286,17136286,17067569,13609673,13678390
050484,Fort Frye Local,Washington,2025,6096027,543114,2548759,0,349424,16803637,16814103,21433275,13678390,9059218
050492,Frontier Local,Washington,2020,5495646,138074,1407862,0,252099,7990002,8093424,7941540,3231596,3383480
050492,Frontier Local,Washington,2021,5558552,138074,1431320,0,260046,8130644,8253641,7566665,3383480,4070456
