edition,fund,ali,name,fiscal_year,kind,amount
2006,GRF,200455,Community Schools,2006,appropriation,2942094
2006,GRF,200455,Community Schools,2007,appropriation,2942094
2006,GRF,200500,School Finance Equity,2002,actual,22649115
2006,GRF,200500,School Finance Equity,2003,actual,18924026
2006,GRF,200500,School Finance Equity,2004,actual,13371385
2006,GRF,200500,School Finance Equity,2005,actual,7105137
2006,GRF,200500,School Finance Equity,2006,appropriation,0
2006,GRF,200500,School Finance Equity,2007,appropriation,0
2006,GRF,200501,Base Cost Funding,2002,actual,4275243309
2006,GRF,200501,Base Cost Funding,2003,actual,4376553639
2006,GRF,200501,Base Cost Funding,2004,actual,4506711651
2006,GRF,200501,Base Cost Funding,2005,actual,4588586501
2006,GRF,200501,Base Cost Funding,2006,appropriation,0
2006,GRF,200501,Base Cost Funding,2007,appropriation,0
2006,GRF,200502,Pupil Transportation,2002,actual,334065252
2006,GRF,200502,Pupil Transportation,2003,actual,367530294
2006,GRF,200502,Pupil Transportation,2004,actual,420271400
2006,GRF,200502,Pupil Transportation,2005,actual,404301894
2006,GRF,200502,Pupil Transportation,2006,appropriation,412330728
2006,GRF,200502,Pupil Transportation,2007,appropriation,420577343
2006,GRF,200503,Bus Purchase Allowance,2002,actual,34790655
2006,GRF,200503,Bus Purchase Allowance,2003,actual,33855064
2006,GRF,200503,Bus Purchase Allowance,2004,actual,18674944
2006,GRF,200503,Bus Purchase Allowance,2005,actual,17048756
2006,GRF,200503,Bus Purchase Allowance,2006,appropriation,8600000
2006,GRF,200503,Bus Purchase Allowance,2007,appropriation,14000000
2006,GRF,200505,School Lunch Match,2002,actual,8929403
2006,GRF,200505,School Lunch Match,2003,actual,9101127
2006,GRF,200505,School Lunch Match,2004,actual,9033592
2006,GRF,200505,School Lunch Match,2005,actual,8990480
2006,GRF,200505,School Lunch Match,2006,appropriation,8998025
2006,GRF,200505,School Lunch Match,2007,appropriation,8998025
2006,GRF,200509,Adult Literacy Education,2002,actual,8739607
2006,GRF,200509,Adult Literacy Education,2003,actual,8805234
2006,GRF,200509,Adult Literacy Education,2004,actual,8774250
2006,GRF,200509,Adult Literacy Education,2005,actual,8496363
2006,GRF,200509,Adult Literacy Education,2006,appropriation,8669738
2006,GRF,200509,Adult Literacy Education,2007,appropriation,8669738
2006,GRF,200510,County Commissioners Reimbursement,2002,actual,0
2006,GRF,200510,County Commissioners Reimbursement,2003,actual,1029995
2006,GRF,200510,County Commissioners Reimbursement,2004,actual,693938
2006,GRF,200510,County Commissioners Reimbursement,2005,actual,0
2006,GRF,200510,County Commissioners Reimbursement,2006,appropriation,0
2006,GRF,200510,County Commissioners Reimbursement,2007,appropriation,0
2006,GRF,200511,Auxiliary Services,2002,actual,122606208
2006,GRF,200511,Auxiliary Services,2003,actual,123058286
2006,GRF,200511,Auxiliary Services,2004,actual,127903356
2006,GRF,200511,Auxiliary Services,2005,actual,127854857
2006,GRF,200511,Auxiliary Services,2006,appropriation,127903356
2006,GRF,200511,Auxiliary Services,2007,appropriation,127903356
2006,GRF,200513,Student Intervention Services,2002,actual,5685846
2006,GRF,200513,Student Intervention Services,2003,actual,38021766
2006,GRF,200513,Student Intervention Services,2004,actual,36666759
2006,GRF,200513,Student Intervention Services,2005,actual,38874974
2006,GRF,200513,Student Intervention Services,2006,appropriation,0
2006,GRF,200513,Student Intervention Services,2007,appropriation,0
2006,GRF,200514,Postsecondary Adult Career-Technical Education,2002,actual,23958167
2006,GRF,200514,Postsecondary Adult Career-Technical Education,2003,actual,21200354
2006,GRF,200514,Postsecondary Adult Career-Technical Education,2004,actual,20044319
2006,GRF,200514,Postsecondary Adult Career-Technical Education,2005,actual,19819126
2006,GRF,200514,Postsecondary Adult Career-Technical Education,2006,appropriation,19481875
2006,GRF,200514,Postsecondary Adult Career-Technical Education,2007,appropriation,19481875
2006,GRF,200520,Disadvantaged Pupil Impact Aid,2002,actual,345638782
2006,GRF,200520,Disadvantaged Pupil Impact Aid,2003,actual,320722966
2006,GRF,200520,Disadvantaged Pupil Impact Aid,2004,actual,347031124
2006,GRF,200520,Disadvantaged Pupil Impact Aid,2005,actual,348588897
2006,GRF,200520,Disadvantaged Pupil Impact Aid,2006,appropriation,0
2006,GRF,200520,Disadvantaged Pupil Impact Aid,2007,appropriation,0
2006,GRF,200521,Gifted Pupil Program,2002,actual,44553303
2006,GRF,200521,Gifted Pupil Program,2003,actual,45089424
2006,GRF,200521,Gifted Pupil Program,2004,actual,46709389
2006,GRF,200521,Gifted Pupil Program,2005,actual,47266441
2006,GRF,200521,Gifted Pupil Program,2006,appropriation,46910068
2006,GRF,200521,Gifted Pupil Program,2007,appropriation,47157293
2006,GRF,200525,Parity Aid,2002,actual,97467789
2006,GRF,200525,Parity Aid,2003,actual,201492689
2006,GRF,200525,Parity Aid,2004,actual,316164258
2006,GRF,200525,Parity Aid,2005,actual,427388580
2006,GRF,200525,Parity Aid,2006,appropriation,0
2006,GRF,200525,Parity Aid,2007,appropriation,0
2006,GRF,200532,Nonpublic Administrative Cost Reimbursement,2002,actual,53520200
2006,GRF,200532,Nonpublic Administrative Cost Reimbursement,2003,actual,55561342
2006,GRF,200532,Nonpublic Administrative Cost Reimbursement,2004,actual,55765047
2006,GRF,200532,Nonpublic Administrative Cost Reimbursement,2005,actual,54063375
2006,GRF,200532,Nonpublic Administrative Cost Reimbursement,2006,appropriation,56762916
2006,GRF,200532,Nonpublic Administrative Cost Reimbursement,2007,appropriation,58068463
2006,GRF,200533,School-Age Child Care,2002,actual,102087
2006,GRF,200533,School-Age Child Care,2003,actual,0
2006,GRF,200533,School-Age Child Care,2004,actual,0
2006,GRF,200533,School-Age Child Care,2005,actual,0
2006,GRF,200533,School-Age Child Care,2006,appropriation,0
2006,GRF,200533,School-Age Child Care,2007,appropriation,0
2006,GRF,200534,Desegregation Costs,2002,actual,32925509
2006,GRF,200534,Desegregation Costs,2003,actual,458
2006,GRF,200534,Desegregation Costs,2004,actual,0
2006,GRF,200534,Desegregation Costs,2005,actual,0
2006,GRF,200534,Desegregation Costs,2006,appropriation,0
2006,GRF,200534,Desegregation Costs,2007,appropriation,0
2006,GRF,200540,Special Education Enhancements,2002,actual,133528920
2006,GRF,200540,Special Education Enhancements,2003,actual,130906483
2006,GRF,200540,Special Education Enhancements,2004,actual,133821049
2006,GRF,200540,Special Education Enhancements,2005,actual,129477586
2006,GRF,200540,Special Education Enhancements,2006,appropriation,134169606
2006,GRF,200540,Special Education Enhancements,2007,appropriation,135430125
2006,GRF,200545,Career-Technical Education Enhancements,2002,actual,23662201
2006,GRF,200545,Career-Technical Education Enhancements,2003,actual,21006699
2006,GRF,200545,Career-Technical Education Enhancements,2004,actual,13079934
2006,GRF,200545,Career-Technical Education Enhancements,2005,actual,12849685
2006,GRF,200545,Career-Technical Education Enhancements,2006,appropriation,10169442
2006,GRF,200545,Career-Technical Education Enhancements,2007,appropriation,9225569
2006,GRF,200546,Charge-Off Supplement,2002,actual,39306115
2006,GRF,200546,Charge-Off Supplement,2003,actual,36494973
2006,GRF,200546,Charge-Off Supplement,2004,actual,49812720
2006,GRF,200546,Charge-Off Supplement,2005,actual,59199463
2006,GRF,200546,Charge-Off Supplement,2006,appropriation,0
2006,GRF,200546,Charge-Off Supplement,2007,appropriation,0
2006,GRF,200547,Power Equalization,2002,actual,52495
2006,GRF,200547,Power Equalization,2003,actual,0
2006,GRF,200547,Power Equalization,2004,actual,0
2006,GRF,200547,Power Equalization,2005,actual,0
2006,GRF,200547,Power Equalization,2006,appropriation,0
2006,GRF,200547,Power Equalization,2007,appropriation,0
2006,GRF,200550,Foundation Funding,2002,actual,0
2006,GRF,200550,Foundation Funding,2003,actual,
2006,GRF,200550,Foundation Funding,2004,actual,
2006,GRF,200550,Foundation Funding,2005,actual,
2006,GRF,200550,Foundation Funding,2006,appropriation,5579031663
2006,GRF,200550,Foundation Funding,2007,appropriation,5709057366
2006,GRF,200552,County MR/DD Boards Vehicle Purchases,2002,actual,1410153
2006,GRF,200552,County MR/DD Boards Vehicle Purchases,2003,actual,1148261
2006,GRF,200552,County MR/DD Boards Vehicle Purchases,2004,actual,0
2006,GRF,200552,County MR/DD Boards Vehicle Purchases,2005,actual,576696
2006,GRF,200552,County MR/DD Boards Vehicle Purchases,2006,appropriation,0
2006,GRF,200552,County MR/DD Boards Vehicle Purchases,2007,appropriation,0
2006,GRF,200553,County MR/DD Boards Transportation Operating,2002,actual,8623588
2006,GRF,200553,County MR/DD Boards Transportation Operating,2003,actual,8849536
2006,GRF,200553,County MR/DD Boards Transportation Operating,2004,actual,0
2006,GRF,200553,County MR/DD Boards Transportation Operating,2005,actual,0
2006,GRF,200553,County MR/DD Boards Transportation Operating,2006,appropriation,0
2006,GRF,200553,County MR/DD Boards Transportation Operating,2007,appropriation,0
2006,GRF,200558,Emergency Loan Interest Subsidy,2002,actual,4156147
2006,GRF,200558,Emergency Loan Interest Subsidy,2003,actual,3304902
2006,GRF,200558,Emergency Loan Interest Subsidy,2004,actual,2728900
2006,GRF,200558,Emergency Loan Interest Subsidy,2005,actual,2001804
2006,GRF,200558,Emergency Loan Interest Subsidy,2006,appropriation,1388164
2006,GRF,200558,Emergency Loan Interest Subsidy,2007,appropriation,651404
2006,GRF,200566,Reading/Writing Improvement Classroom Grants,2002,actual,27140498
2006,GRF,200566,Reading/Writing Improvement Classroom Grants,2003,actual,26476783
2006,GRF,200566,Reading/Writing Improvement Classroom Grants,2004,actual,12874776
2006,GRF,200566,Reading/Writing Improvement Classroom Grants,2005,actual,10462342
2006,GRF,200566,Reading/Writing Improvement Classroom Grants,2006,appropriation,12062336
2006,GRF,200566,Reading/Writing Improvement Classroom Grants,2007,appropriation,12062336
2006,GRF,200570,School Improvement Incentive Grants,2002,actual,837500
2006,GRF,200570,School Improvement Incentive Grants,2003,actual,836202
2006,GRF,200570,School Improvement Incentive Grants,2004,actual,0
2006,GRF,200570,School Improvement Incentive Grants,2005,actual,0
2006,GRF,200570,School Improvement Incentive Grants,2006,appropriation,0
2006,GRF,200570,School Improvement Incentive Grants,2007,appropriation,0
2006,GRF,200572,Teacher Incentive Grants,2002,actual,265500
2006,GRF,200572,Teacher Incentive Grants,2003,actual,0
2006,GRF,200572,Teacher Incentive Grants,2004,actual,0
2006,GRF,200572,Teacher Incentive Grants,2005,actual,0
2006,GRF,200572,Teacher Incentive Grants,2006,appropriation,0
2006,GRF,200572,Teacher Incentive Grants,2007,appropriation,0
2006,GRF,200574,Substance Abuse Prevention,2002,actual,1962800
2006,GRF,200574,Substance Abuse Prevention,2003,actual,1618147
2006,GRF,200574,Substance Abuse Prevention,2004,actual,0
2006,GRF,200574,Substance Abuse Prevention,2005,actual,0
2006,GRF,200574,Substance Abuse Prevention,2006,appropriation,0
2006,GRF,200574,Substance Abuse Prevention,2007,appropriation,0
2006,GRF,200578,Safe and Supportive Schools,2002,actual,0
2006,GRF,200578,Safe and Supportive Schools,2003,actual,0
2006,GRF,200578,Safe and Supportive Schools,2004,actual,3497353
2006,GRF,200578,Safe and Supportive Schools,2005,actual,3359886
2006,GRF,200578,Safe and Supportive Schools,2006,appropriation,1218555
2006,GRF,200578,Safe and Supportive Schools,2007,appropriation,1218555
2006,GRF,200580,Bethel School Clean-Up,2002,actual,65000
2006,GRF,200580,Bethel School Clean-Up,2003,actual,65000
2006,GRF,200580,Bethel School Clean-Up,2004,actual,0
2006,GRF,200580,Bethel School Clean-Up,2005,actual,0
2006,GRF,200580,Bethel School Clean-Up,2006,appropriation,0
2006,GRF,200580,Bethel School Clean-Up,2007,appropriation,0
2006,GRF,200901,Property Tax Allocation - Education,2002,actual,705731854
2006,GRF,200901,Property Tax Allocation - Education,2003,actual,736647353
2006,GRF,200901,Property Tax Allocation - Education,2004,actual,782182369
2006,GRF,200901,Property Tax Allocation - Education,2005,actual,828384762
2006,GRF,200901,Property Tax Allocation - Education,2006,appropriation,764626987
2006,GRF,200901,Property Tax Allocation - Education,2007,appropriation,728793318
2006,GRF,200906,Tangible Tax Exemption-Education,2002,actual,66925963
2006,GRF,200906,Tangible Tax Exemption-Education,2003,actual,67610856
2006,GRF,200906,Tangible Tax Exemption-Education,2004,actual,60849770
2006,GRF,200906,Tangible Tax Exemption-Education,2005,actual,54088685
2006,GRF,200906,Tangible Tax Exemption-Education,2006,appropriation,42830487
2006,GRF,200906,Tangible Tax Exemption-Education,2007,appropriation,32122865
2006,138,200606,Computer Services - Operational Support,2002,actual,4975341
2006,138,200606,Computer Services - Operational Support,2003,actual,6053815
2006,138,200606,Computer Services - Operational Support,2004,actual,7218332
2006,138,200606,Computer Services - Operational Support,2005,actual,6870046
2006,138,200606,Computer Services - Operational Support,2006,appropriation,7600091
2006,138,200606,Computer Services - Operational Support,2007,appropriation,7600091
2006,452,200638,Miscellaneous Educational Services,2002,actual,294508
2006,452,200638,Miscellaneous Educational Services,2003,actual,387027
2006,452,200638,Miscellaneous Educational Services,2004,actual,191540
2006,452,200638,Miscellaneous Educational Services,2005,actual,265537
2006,452,200638,Miscellaneous Educational Services,2006,appropriation,400000
2006,452,200638,Miscellaneous Educational Services,2007,appropriation,400000
2006,4D1,200602,Ohio Prevention/Education Resource Center,2002,actual,370082
2006,4D1,200602,Ohio Prevention/Education Resource Center,2003,actual,827500
2006,4D1,200602,Ohio Prevention/Education Resource Center,2004,actual,506100
2006,4D1,200602,Ohio Prevention/Education Resource Center,2005,actual,957900
2006,4D1,200602,Ohio Prevention/Education Resource Center,2006,appropriation,832000
2006,4D1,200602,Ohio Prevention/Education Resource Center,2007,appropriation,832000
2006,4L2,200681,Teacher Certification and Licensure,2002,actual,4000236
2006,4L2,200681,Teacher Certification and Licensure,2003,actual,3973112
2006,4L2,200681,Teacher Certification and Licensure,2004,actual,3953093
2006,4L2,200681,Teacher Certification and Licensure,2005,actual,4370211
2006,4L2,200681,Teacher Certification and Licensure,2006,appropriation,5497158
2006,4L2,200681,Teacher Certification and Licensure,2007,appropriation,5628332
2006,596,200656,Ohio Career Information System,2002,actual,434661
2006,596,200656,Ohio Career Information System,2003,actual,438323
2006,596,200656,Ohio Career Information System,2004,actual,460208
2006,596,200656,Ohio Career Information System,2005,actual,466871
2006,596,200656,Ohio Career Information System,2006,appropriation,529761
2006,596,200656,Ohio Career Information System,2007,appropriation,529761
2006,5B1,200651,Child Nutrition Services,2002,actual,197303
2006,5B1,200651,Child Nutrition Services,2003,actual,142171
2006,5B1,200651,Child Nutrition Services,2004,actual,70813
2006,5B1,200651,Child Nutrition Services,2005,actual,0
2006,5B1,200651,Child Nutrition Services,2006,appropriation,0
2006,5B1,200651,Child Nutrition Services,2007,appropriation,0
2006,5H3,200687,School District Solvency Assistance,2002,actual,1989988
2006,5H3,200687,School District Solvency Assistance,2003,actual,8742000
2006,5H3,200687,School District Solvency Assistance,2004,actual,22825412
2006,5H3,200687,School District Solvency Assistance,2005,actual,16066628
2006,5H3,200687,School District Solvency Assistance,2006,appropriation,18000000
2006,5H3,200687,School District Solvency Assistance,2007,appropriation,18000000
2006,309,200601,Educationally Disadvantaged,2002,actual,18449596
2006,309,200601,Educationally Disadvantaged,2003,actual,18270274
2006,309,200601,Educationally Disadvantaged,2004,actual,18222752
2006,309,200601,Educationally Disadvantaged,2005,actual,14584260
2006,309,200601,Educationally Disadvantaged,2006,appropriation,19658846
2006,309,200601,Educationally Disadvantaged,2007,appropriation,19658846
2006,366,200604,Adult Basic Education,2002,actual,17432788
2006,366,200604,Adult Basic Education,2003,actual,20499344
2006,366,200604,Adult Basic Education,2004,actual,21039810
2006,366,200604,Adult Basic Education,2005,actual,17902665
2006,366,200604,Adult Basic Education,2006,appropriation,18500000
2006,366,200604,Adult Basic Education,2007,appropriation,18500000
2006,367,200607,School Food Services,2002,actual,10581675
2006,367,200607,School Food Services,2003,actual,8704579
2006,367,200607,School Food Services,2004,actual,9422788
2006,367,200607,School Food Services,2005,actual,10278498
2006,367,200607,School Food Services,2006,appropriation,11383637
2006,367,200607,School Food Services,2007,appropriation,11666732
2006,368,200614,Veterans' Training,2002,actual,576478
2006,368,200614,Veterans' Training,2003,actual,558716
2006,368,200614,Veterans' Training,2004,actual,517641
2006,368,200614,Veterans' Training,2005,actual,540319
2006,368,200614,Veterans' Training,2006,appropriation,672961
2006,368,200614,Veterans' Training,2007,appropriation,691130
2006,369,200616,Career-Technical Education Federal Enhancement,2002,actual,4112166
2006,369,200616,Career-Technical Education Federal Enhancement,2003,actual,8390141
2006,369,200616,Career-Technical Education Federal Enhancement,2004,actual,6551994
2006,369,200616,Career-Technical Education Federal Enhancement,2005,actual,5264265
2006,369,200616,Career-Technical Education Federal Enhancement,2006,appropriation,6500000
2006,369,200616,Career-Technical Education Federal Enhancement,2007,appropriation,6500000
2006,370,200624,Education of Exceptional Children,2002,actual,1171454
2006,370,200624,Education of Exceptional Children,2003,actual,2164775
2006,370,200624,Education of Exceptional Children,2004,actual,2198286
2006,370,200624,Education of Exceptional Children,2005,actual,1195146
2006,370,200624,Education of Exceptional Children,2006,appropriation,2386610
2006,370,200624,Education of Exceptional Children,2007,appropriation,2386610
2006,371,200631,Immigrant Education Opportunities,2002,actual,981137
