ranking_year,rank,lea_irn,lea_name,building_irn,building_name,building_org_type,performance_index
2024,2046,049148,Waverly City,040410,Waverly Intermediate School,Public School,78.611
2024,2886,045161,Youngstown City,040436,Chaney Middle at McGuffey,Public School,38.857
2024,397,044420,Mount Vernon City,040477,Twin Oak Elementary School,Public School,100.635
2024,2861,043802,Columbus City Schools District,040527,West High School,Public School,42.315
2024,2388,045153,Xenia Community City,040568,Warner Middle School,Public School,70.281
2024,2802,044222,Lima City,040576,Lima West Middle School,Public School,48.14
2024,1849,044891,Tiffin City Schools,040584,Tiffin Middle School,Public School,81.93
2024,657,048678,Brookville Local,040600,Brookville Elementary School,Public School,96.604
2024,1000,045237,Bridgeport Exempted Village,040618,The Bridgeport School District - Elementary,Public School,92.107
2024,66,043547,Bay Village City,040626,Westerly Elementary School,Public School,107.819
2024,1738,043588,Bellefontaine City,040634,Bellefontaine Intermediate School,Public School,83.616
2024,260,049437,Lexington Local,040659,Western Elementary School,Public School,102.952
2024,2324,049155,Western Local,040667,Western High School,Public School,72.177
2024,1433,045047,Westerville City,040675,Westerville-South High School,Public School,87.18
2024,2017,049106,Westfall Local,040683,Westfall High School,Public School,79.145
2024,2440,043919,East Liverpool City,040717,Westgate Middle School,Public School,68.149
2024,2436,043802,Columbus City Schools District,040725,Westgate Alternative Elementary School,Public School,68.304
2024,2343,043919,East Liverpool City,040733,East Liverpool Junior High,Public School,71.648
2024,1823,046243,Tecumseh Local,040741,New Carlisle Elementary School,Public School,82.357
2024,476,045062,Westlake City,040758,Westlake High School,Public School,99.473
2024,644,046680,Tri-Village Local,040774,Tri-Village Elementary School,Public School,96.794
2024,2851,043802,Columbus City Schools District,040782,Westmoor Middle School,Public School,44.579
2024,637,048124,Avon Lake City,040808,Westview Elementary School,Public School,96.849
2024,141,047225,West Geauga Local,040857,Westwood Elementary School,Public School,105.691
2024,2503,043752,Cincinnati Public Schools,040865,Westwood School,Public School,65.7
2024,815,045658,Wellington Exempted Village,040881,Westwood Elementary School,Public School,94.483
2024,2118,047514,Riverdale Local,040915,Riverdale Middle School,Public School,77.052
2024,357,049668,Wheelersburg Local,040923,Wheelersburg Elementary School,Public School,101.383
2024,1411,049668,Wheelersburg Local,040931,Wheelersburg High School,Public School,87.492
2024,1102,046516,Colonel Crawford Local,040956,Hannah Crawford Elementary School PreK-Grade 2,Public School,90.946
2024,2467,043802,Columbus City Schools District,040964,Whetstone High School,Public School,67.028
2024,709,049924,Perry Local,040972,Whipple Heights Elementary School,Public School,95.916
2024,2099,047613,Bright Local,041004,Whiteoak High School,Public School,77.526
2024,2363,047365,Northwest Local,041012,White Oak Middle School,Public School,71.103
2024,2376,045070,Whitehall City,041020,Whitehall Yearling High School,Public School,70.614
2024,9,048207,Anthony Wayne Local,041038,Whitehouse Primary School,Public School,112.888
2024,2263,048231,Washington Local,041046,Whitmer High School,Public School,73.848
2024,216,044842,Strongsville City,041053,Whitney Elementary School,Public School,103.837
2024,2783,044909,Toledo City,041137,Whittier Elementary School,Public School,49.844
2024,360,045047,Westerville City,041160,Whittier Elementary School,Public School,101.311
2024,1528,044354,Massillon City,041178,Whittier Elementary School,Public School,85.977
2024,1707,044149,Ironton City School District,041186,Ironton Elementary School,Public School,84.016
2024,1144,044933,Upper Arlington City,041194,Wickliffe Elementary School,Public School,90.432
2024,2208,045088,Wickliffe City,041202,Wickliffe Upper School,Public School,75.23
2024,419,050070,Twinsburg City,041251,Wilcox Elementary School,Public School,100.284
2024,1937,044644,Piqua City,041269,Piqua Central Intermediate School,Public School,80.647
2024,2449,044404,Middletown City,041277,Wildwood Elementary School,Public School,67.531
2024,1979,045096,Willard City,041319,Willard High School,Public School,79.887
2024,1446,044008,Franklin City,041327,William C Schenck Elementary School,Public School,86.96
2024,2609,044040,Garfield Heights City Schools,041335,William Foster Elementary School,Public School,60.133
2024,1774,047381,Southwest Local,041368,William Henry Harrison High School,Public School,83.091
2024,274,050450,Mason City,041376,William Mason High School,Public School,102.767
2024,468,049932,Plain Local,041384,Robert A. Taft Elementary School,Public School,99.583
2024,1434,044578,Norwood City,041418,Williams Avenue Elementary School,Public School,87.126
2024,218,046367,Williamsburg Local,041434,Williamsburg Elementary School,Public School,103.8
2024,975,046367,Williamsburg Local,041442,Williamsburg High School,Public School,92.443
2024,2887,045161,Youngstown City,041467,East Middle at PRBerry,Public School,38.504
2024,2353,045104,Willoughby-Eastlake City,041509,Willoughby Middle School,Public School,71.248
2024,2375,045104,Willoughby-Eastlake City,041525,Willowick Middle School,Public School,70.642
2024,652,046359,West Clermont Local,041533,Willowville Elementary School,Public School,96.673
2024,2140,045112,Wilmington City,041558,Wilmington High School,Public School,76.673
2024,2364,045179,Zanesville City,041582,Zane Grey Elementary School,Public School,71.049
2024,91,047340,Forest Hills Local,041608,Wilson Elementary School,Public School,106.882
2024,671,045138,Worthington City,041624,Wilson Hill Elementary School,Public School,96.479
2024,1981,044107,Hamilton City,041640,Wilson Middle School,Public School,79.882
2024,2217,044453,Newark City,041657,Wilson Middle School,Public School,75.013
2024,1382,043489,Akron City,041699,Windemere Community Learning Center,Public School,87.828
2024,29,044933,Upper Arlington City,041715,Windermere Elementary School,Public School,110.215
2024,2393,045666,Windham Exempted Village,041723,Windham High School,Public School,69.95
2024,2878,043802,Columbus City Schools District,041749,Windsor STEM Academy (K-6),Public School,40.066
2024,1954,043943,Elyria City Schools,041756,Northwood Elementary School,Public School,80.35
2024,922,047688,East Holmes Local,041814,Winesburg Elementary School,Public School,93.188
2024,1559,043802,Columbus City Schools District,041822,Winterset Elementary School,Public School,85.658
2024,2473,047803,Indian Creek Local,041830,Cross Creek Elementary,Public School,66.879
2024,1490,047803,Indian Creek Local,041848,Indian Creek High School,Public School,86.451
2024,2726,043752,Cincinnati Public Schools,041855,Winton Hills Academy,Public School,53.293
2024,2250,043752,Cincinnati Public Schools,041863,Parker Woods Montessori School,Public School,74.233
2024,880,047688,East Holmes Local,041889,Wise Elementary School,Public School,93.687
2024,1724,046359,West Clermont Local,041897,Withamsville-Tobasco Elementary School,Public School,83.794
2024,2888,043844,Dayton City,041921,Wogaman Middle School,Public School,38.426
2024,1736,044750,Shaker Heights City,041939,Woodbury Elementary School,Public School,83.647
2024,2542,043802,Columbus City Schools District,041947,Woodcrest Elementary School,Public School,64.071
2024,2627,044297,Mansfield City,041962,Woodland Elementary School,Public School,59.037
2024,117,044834,Stow-Munroe Falls City School District,041988,Woodland Elementary School,Public School,106.181
2024,1195,044677,Princeton City,042028,Woodlawn Elementary School,Public School,89.836
2024,405,049577,Woodmore Local,042036,Woodmore Elementary School,Public School,100.56
2024,1723,049577,Woodmore Local,042044,Woodmore High School,Public School,83.8
2024,1710,049973,Woodridge Local,042051,Woodridge High School,Public School,83.941
2024,1871,048652,Switzerland of Ohio Local,042077,Woodsfield Elementary School,Public School,81.628
2024,2169,048652,Switzerland of Ohio Local,042085,Monroe Central High School,Public School,76.075
2024,1554,043877,Delaware City,042143,Laura Woodward Elementary School,Public School,85.675
2024,2812,044909,Toledo City,042150,Woodward High School,Public School,47.229
2024,2544,043802,Columbus City Schools District,042184,Woodward Park Middle School,Public School,63.908
2024,1546,045120,Wooster City,042218,Wooster High School,Public School,85.747
2024,764,050591,Triway Local,042234,Wooster Twp Elementary School,Public School,95.15
2024,2340,043711,Canton City,042259,Worley Elementary School,Public School,71.772
2024,740,045138,Worthington City,042275,Worthington Estates Elementary School,Public School,95.448
2024,1012,045138,Worthington City,042283,Thomas Worthington High School,Public School,91.915
2024,1465,045138,Worthington City,042291,Worthingway Middle School,Public School,86.659
2024,1336,048397,Western Reserve Local,042333,Western Reserve High School,Public School,88.355
2024,1666,047746,Western Reserve Local,042341,Western Reserve High School,Public School,84.449
2024,1592,046524,Wynford Local,042366,Wynford High School,Public School,85.348
2024,277,045146,Wyoming City,042382,Wyoming High School,Public School,102.754
2024,2305,045153,Xenia Community City,042408,Xenia High School,Public School,72.78
2024,1149,045674,Yellow Springs Exempted Village,042416,Yellow Springs/McKinney High School,Public School,90.34
2024,551,043596,Bellevue City,042424,Bellevue Elementary School,Public School,98.137
2024,1807,044446,Nelsonville-York City,042440,Nelsonville-York Elementary School,Public School,82.566
2024,272,048470,Buckeye Local,042457,Buckeye  Primary School,Public School,102.78
2024,2035,044487,New Philadelphia City,042465,York Elementary School,Public School,78.839
2024,2765,043802,Columbus City Schools District,042499,Yorktown Middle School,Public School,51.172
2024,2038,047787,Buckeye Local,042515,Buckeye South Elementary School,Public School,78.743
2024,1351,047399,Three Rivers Local,042523,Three Rivers Elementary,Public School,88.18
2024,2758,043711,Canton City,042549,Youtz Intermediate School,Public School,51.52
2024,2171,069682,East Guernsey Local,042564,Buckeye Trail High School,Public School,76.055
2024,2223,049544,Zane Trace Local,042572,Zane Trace High School,Public School,74.847
2024,2405,045179,Zanesville City,042598,Zanesville High School,Public School,69.39
2024,129,043554,Beachwood City,042614,Beachwood Middle School,Public School,105.871
2024,1036,043737,Centerville City,042655,Hadley E Watts Middle School,Public School,91.631
2024,2273,043836,Cuyahoga Falls City,042762,Roberts Middle School,Public School,73.586
2024,1956,043968,Fairborn City,042796,Fairborn High School,Public School,80.323
2024,1280,043984,Findlay City,042804,Bigelow Hill Elementary School,Public School,88.977
2024,1021,043984,Findlay City,042812,Wilson Vance Elementary School,Public School,91.758
2024,2057,044339,Marion City,042861,Benjamin Harrison Elementary School,Public School,78.394
2024,1363,044735,Salem City,043000,Southeast Elementary School,Public School,88.065
2024,2109,044784,Sidney City,043018,Sidney Middle School,Public School,77.228
2024,1526,044800,South-Western City,043026,Highland Park Elementary School,Public School,85.988
2024,1657,044834,Stow-Munroe Falls City School District,043034,Indian Trail Elementary School,Public School,84.588
2024,1062,045047,Westerville City,043091,Blendon Middle School,Public School,91.388
2024,259,045435,Indian Hill Exempted Village,043158,Indian Hill Middle School,Public School,102.973
2024,1771,045492,Mentor Exempted Village,043174,Lake Elementary School,Public School,83.125
2024,371,045997,St Clairsville-Richland City,043216,St Clairsville Elementary School,Public School,101.022
2024,1425,046060,Western Brown Local,043224,Mt Orab Primary Elementary School,Public School,87.261
2024,628,046748,Big Walnut Local,043265,Big Walnut Middle School,Public School,96.95
2024,249,046763,Olentangy Local,043281,Olentangy Shanahan Middle School,Public School,103.11
2024,970,047241,Beavercreek City,043299,Herman K Ankeney Middle School,Public School,92.453
2024,2552,047365,Northwest Local,043315,Pleasant Run Middle School,Public School,63.387
2024,2065,047373,Oak Hills Local,043323,Delshire Elementary School,Public School,78.264
2024,467,047373,Oak Hills Local,043331,Oakdale Elementary School,Public School,99.614
2024,825,048306,Boardman Local,043364,Boardman Center Intermediate School,Public School,94.416
2024,1814,048447,River Valley Local,043372,River Valley Middle School,Public School,82.47
2024,798,048678,Brookville Local,043380,Brookville Intermediate School,Public School,94.683
2024,2387,048702,Mad River Local,043398,Mad River Middle School,Public School,70.313
2024,2110,049833,Canton Local,043430,Canton South Middle School,Public School,77.227
2024,563,050013,Green Local,043448,Green Middle School,Public School,97.997
2024,381,047241,Beavercreek City,050757,Fairbrook Elementary School,Public School,100.823
2024,464,043737,Centerville City,061218,Centerville Primary Village North,Public School,99.72
2024,37,044313,Mariemont City,061275,Mariemont Elementary School,Public School,109.619
2024,1454,044834,Stow-Munroe Falls City School District,061291,Kimpton Middle School,Public School,86.817
2024,1569,044875,Sylvania Schools,061309,Sylvania Arbor Hills Junior High School,Public School,85.572
2024,1418,045658,Wellington Exempted Village,061317,Wellington High School,Public School,87.38
2024,1496,044800,South-Western City,061325,Grove City High School,Public School,86.348
2024,2384,044800,South-Western City,061333,Westland High School,Public School,70.391
2024,1001,045047,Westerville City,061358,Annehurst Elementary School,Public School,92.102
2024,699,043984,Findlay City,061366,Chamberlin Hill Elementary School,Public School,96.042
2024,900,044958,Vandalia-Butler City,061382,Helke Elementary School,Public School,93.486
