fiscal_year,irn,district,county,enrolled_adm,base_cost_enrolled_adm,enrolment_is_provisional,base_cost_per_pupil,aggregate_base_cost,property_valuation_annual,property_valuation_three_year_average,property_valuation_used,state_share_percentage,state_share_of_base_cost,core_foundation_funding,guarantee,formula_transition_supplement,base_funding_supplement,total_state_support
2025,051185,Lawrence County,Lawrence,696.992653,733.591982,no,10286.88,7546374.28,1828077020,1719318326.67,1719318326.67,0.8860832,6686715.12,9635175.56,0,0,0,9635175.56
2025,051201,Career and Technology Educational Centers,Licking,1112.620756,1050.093999,no,9582.5,10062529.33,8113592248,6561463766,6561463766,0.6739655,6781797.45,8804965.97,0,0,0,8804965.97
2025,051227,Lorain County JVS,Lorain,1289.196281,1329.410837,no,9596.27,12757379.09,8238379300,8094682840,8094682840,0.6827451,8710037.67,11030956.95,0,0,0,11030956.95
2025,051243,Mahoning Co Career & Tech Ctr,Mahoning,750.347099,766.4691,no,10031.53,7688858.15,5662620790,4752753770,4752753770,0.6909324,5312481.26,7987981.71,0,0,0,7987981.71
2025,051284,Miami Valley Career Tech,Montgomery,2475.899361,2186.892202,no,9474.58,20719886.13,10405183320,8858503136.67,8858503136.67,0.7862319,16290634.56,22800204.58,0,0,0,22800204.58
2025,051300,Mid-East Career and Technology Centers,Muskingum,1169.730436,1143.673722,no,9544.4,10915684.92,5380085534,5150440666.33,5150440666.33,0.7640807,8340464.59,12348877.96,0,0,0,12348877.96
2025,051334,Ohio Hi-Point Career Center,Logan,1197.857003,1113.529497,no,9490.75,10568225.3,4767096660,4358193526.67,4358193526.67,0.7938067,8389128.54,11204881.62,0,0,0,11204881.62
2025,051359,Penta Career Center - District,Wood,2193.062049,2166.547224,no,9554.69,20700684.17,8599210830,8004289253.33,8004289253.33,0.8066661,16698539.54,25046691.31,0,0,0,25046691.31
2025,051375,Pike County Area,Pike,441.079423,441.993686,no,10972.64,4849838.97,741027770,643163053.33,643163053.33,0.9336923,4528257.44,6533191.78,0,0,0,6533191.78
2025,051391,Maplewood Career Center District,Portage,696.19219,645.16,no,9951.68,6420423.91,3114031630,3054559676.67,3054559676.67,0.7621217,4893144.07,6653536.58,0,0,0,6653536.58
