leaid,irn,state,comparable,enrollment,total_revenue,federal_revenue,state_revenue,local_revenue,property_tax,current_spending
5302400,,WA,1,20343,422986000,38528000,258979000,125479000,115171000,359452000
5302460,,WA,1,3273,73655000,7097000,49778000,16780000,15509000,48266000
5302490,,WA,1,1569,26861000,3359000,19900000,3602000,2646000,25283000
5302550,,WA,1,333,7289000,1125000,4648000,1516000,1305000,6393000
5302610,,WA,1,2701,55455000,4950000,45828000,4677000,4122000,37463000
5302670,,WA,1,20258,398691000,43960000,257281000,97450000,90208000,361530000
5302700,,WA,1,22847,485005000,65675000,325170000,94160000,83734000,397849000
5302820,,WA,1,21136,462959000,69617000,314871000,78471000,69252000,361885000
5302850,,WA,1,4398,85928000,12173000,54552000,19203000,15909000,79079000
5302880,,WA,1,3792,82789000,6605000,49493000,26691000,25189000,63631000
5302910,,WA,1,880,15424000,2489000,10735000,2200000,1898000,14548000
5302940,,WA,1,7544,144245000,19419000,93094000,31732000,28335000,130878000
5302970,,WA,1,880,15942000,1563000,9933000,4446000,3884000,13021000
5303000,,WA,1,121,3499000,427000,2761000,311000,271000,3277000
5303030,,WA,1,52,2391000,84000,2163000,144000,79000,2510000
5303090,,WA,1,2279,31223000,2393000,25318000,3512000,2394000,28644000
5303130,,WA,1,725,13362000,2852000,8929000,1581000,1336000,12550000
5303150,,WA,1,3659,62936000,11026000,46047000,5863000,4172000,57846000
5303180,,WA,1,1488,31649000,9516000,20339000,1794000,1509000,28928000
5303210,,WA,1,2201,43741000,3370000,29444000,10927000,9600000,36229000
5303360,,WA,1,113,3704000,468000,2836000,400000,342000,3691000
5303440,,WA,1,183,4254000,467000,3257000,530000,375000,3929000
5303510,,WA,1,1100,19115000,3320000,13139000,2656000,2317000,17515000
5303540,,WA,1,18485,458287000,67016000,255362000,135909000,107826000,352631000
5303570,,WA,1,1938,32523000,2959000,21589000,7975000,6309000,26555000
5303660,,WA,1,1614,30144000,4254000,21153000,4737000,3210000,27353000
5303750,,WA,1,19590,410592000,29761000,227294000,153537000,132190000,323763000
5303780,,WA,1,36,2485000,120000,2150000,215000,76000,2317000
5303810,,WA,1,1096,20033000,1118000,12825000,6090000,5548000,12872000
5303930,,WA,1,18714,332487000,40941000,247844000,43702000,38370000,278214000
5303960,,WA,1,24910,523189000,69303000,320223000,133663000,126691000,440370000
5303990,,WA,1,1107,16909000,2130000,13153000,1626000,1256000,14941000
5304020,,WA,1,1417,23730000,3753000,17606000,2371000,2007000,22253000
5304050,,WA,1,603,11501000,1135000,7207000,3159000,2838000,9747000
5304080,,WA,1,91,2996000,434000,2445000,117000,86000,2478000
