building_irn,building_name,district_irn,district_name,county,enrollment,chronic_absenteeism,achievement_star_rating,performance_index_2425,performance_index_2324,performance_index_2223
064188,Teays Valley East Middle School,049098,Teays Valley Local,Pickaway,452,25.2,3,88.1,83.2,82.6
064196,Westfall Middle School,049106,Westfall Local,Pickaway,309,15.8,3,82.9,80.2,82.9
064287,Woodlands Elementary School,044131,Huron City Schools,Erie,527,8.7,5,103.6,101.0,98.8
064303,Maplewood Elementary School,045799,Shawnee Local,Allen,349,9.1,4,93.8,98.1,101.5
064311,Mckinley Elementary School,048348,Poland Local,Mahoning,549,8.6,4,94.8,97.2,98.4
064360,Middletown Middle School,044404,Middletown City,Butler,898,39.1,2,61.3,62.9,61.2
064378,Harrison Middle School,047381,Southwest Local,Hamilton,990,23.9,3,88.3,87.8,86.0
064576,Cleveland School Of The Arts High School,043786,Cleveland Municipal,Cuyahoga,378,52.1,3,80.5,76.4,78.4
064600,Barnesville Middle School,045203,Barnesville Exempted Village,Belmont,412,20.4,3,86.5,80.5,83.5
064618,Charles Huber Elementary School,048751,Huber Heights City,Montgomery,608,17.9,3,80.0,82.0,80.7
064626,Eastern Elementary School,049437,Lexington Local,Richland,507,9.3,4,99.5,100.9,97.3
064667,Pymatuning Valley Middle School,045880,Pymatuning Valley Local School District,Ashtabula,285,29.1,3,83.9,84.1,85.3
064675,Hickory Ridge Elementary School,043661,Brunswick City,Medina,394,9.4,5,101.3,99.9,98.7
064683,Northwest High School,047365,Northwest Local,Hamilton,702,45.1,2,74.8,65.4,69.2
064717,Logan Elm Elementary School,049080,Logan Elm Local,Pickaway,802,17.1,4,92.1,90.4,74.3
064725,Newton Falls Junior High School,045567,Newton Falls Exempted Village,Trumbull,189,38.1,2,73.0,70.8,66.3
064733,Westwood Middle School,043943,Elyria City Schools,Lorain,466,33.4,2,64.4,64.3,62.6
064741,Chapman Elementary School,044842,Strongsville City,Cuyahoga,441,8.0,4,96.8,102.1,91.5
064758,Dublin Coffman High School,047027,Dublin City,Franklin,1736,22.8,4,97.4,98.3,96.4
064766,New Albany Middle School,046995,New Albany-Plain Local,Franklin,745,9.4,5,105.3,105.5,106.4
064790,West Holmes Middle School,047696,West Holmes Local,Holmes,378,12.0,3,86.7,84.8,84.3
064816,Fairfield South Elementary School,046102,Fairfield City,Butler,637,10.5,4,92.3,92.1,94.5
064824,Bellflower Elementary School,045492,Mentor Exempted Village,Lake,460,8.3,4,93.4,95.4,93.2
064857,Norwood Middle School,044578,Norwood City,Hamilton,369,38.7,2,73.8,73.4,76.3
064865,New Lexington High School,044479,New Lexington School District,Perry,463,32.8,3,78.5,75.0,77.8
064907,Carlisle Junior High School,050419,Carlisle Local,Warren,240,17.3,3,84.1,86.6,87.4
065292,Troy Junior High School,044925,Troy City,Miami,591,23.3,3,88.7,83.6,86.0
065318,Trimble Junior High,045922,Trimble Local,Athens,168,38.1,2,63.6,63.4,67.2
065383,Buckeye Junior High School,048470,Buckeye Local,Medina,300,15.9,4,93.7,89.3,92.8
065391,Ayer Elementary School,047340,Forest Hills Local,Hamilton,591,7.6,5,103.9,105.0,107.4
065417,Springboro Junior High School,050427,Springboro Community City,Warren,946,14.4,4,97.0,97.2,98.5
065433,Violet Elementary School,046896,Pickerington Local,Fairfield,484,7.8,4,93.0,91.4,93.0
065466,Hopewell Junior School,046110,Lakota Local,Butler,509,15.8,4,94.2,94.3,91.5
065508,Crenshaw Middle School,043711,Canton City,Stark,741,41.1,2,61.3,58.3,59.4
065532,Unioto Middle School,049536,Union-Scioto Local,Ross,486,25.7,3,86.8,86.5,86.1
065557,Pointview Elementary School,045047,Westerville City,Franklin,288,16.7,3,85.7,80.4,73.5
065565,Marion C Seltzer Elementary School,043786,Cleveland Municipal,Cuyahoga,369,46.7,1,52.5,51.2,49.3
065573,Marion-Sterling Elementary School,043786,Cleveland Municipal,Cuyahoga,245,55.4,1,42.7,46.3,43.2
065581,Union Furnace Elementary School,044248,Logan-Hocking Local,Hocking,190,26.3,5,110.2,107.2,107.4
065672,Flat Ridge Elementary School,047688,East Holmes Local,Holmes,89,6.3,4,98.2,97.8,96.7
066282,Covington Middle School,045336,Covington Exempted Village,Miami,175,14.9,3,88.7,86.7,87.0
066456,Hylen Souders Elementary School,046748,Big Walnut Local,Delaware,286,10.5,3,85.4,93.7,93.2
066464,Tippecanoe Middle School,045617,Tipp City Exempted Village,Miami,563,12.5,4,97.6,95.6,97.1
066472,Jackson Intermediate,047993,Lakewood Local,Licking,381,16.8,3,88.7,89.1,90.0
066480,Upper Sandusky Middle School,045625,Upper Sandusky Exempted Village,Wyandot,504,11.3,4,94.0,91.8,90.4
066498,Van Cleve Elementary School,044925,Troy City,Miami,317,18.6,3,88.6,86.7,86.9
066514,Willyard Elementary School,044685,Ravenna City,Portage,298,33.8,,NC,NC,NC
066738,Baldwin Road Junior High School,047001,Reynoldsburg City,Franklin,768,34.7,2,63.2,62.0,73.5
066746,Jackson-Milton Elementary School,048322,Jackson-Milton Local,Mahoning,383,15.9,4,95.7,95.0,96.5
066761,Sycamore Junior High School,044867,Sycamore Community City,Hamilton,911,12.8,5,103.7,103.9,104.0
066787,Winton Woods Elementary School,044081,Winton Woods City,Hamilton,565,26.8,2,71.5,67.1,67.0
066795,David H. Ponitz Career Technology  Center,043844,Dayton City,Montgomery,767,55.7,2,57.5,52.8,53.1
066803,Harmon Middle School,049171,Aurora City,Portage,685,11.0,5,104.4,104.6,104.1
066811,Mark Twain Elementary School,045047,Westerville City,Franklin,399,6.0,4,100.1,100.2,99.4
066829,Robert Frost Elementary School,045047,Westerville City,Franklin,415,8.3,4,99.9,98.3,96.4
066837,Weisenborn Junior High,048751,Huber Heights City,Montgomery,821,31.6,2,69.6,64.8,66.7
066845,Dalton Middle School,050542,Dalton Local,Wayne,277,6.0,5,100.7,99.0,100.8
067322,Tri-Valley Middle School,048876,Tri-Valley Local,Muskingum,469,23.7,3,83.5,84.3,87.0
067728,Briggs High School,043802,Columbus City Schools District,Franklin,918,76.1,2,62.0,50.8,51.4
067736,Independence High School,043802,Columbus City Schools District,Franklin,780,72.3,1,54.7,48.0,49.1
067744,Innis Elementary School,043802,Columbus City Schools District,Franklin,279,35.4,1,53.8,55.4,54.1
067751,Liberty Elementary School,043802,Columbus City Schools District,Franklin,547,41.0,2,58.0,56.7,53.2
067819,Ridgedale Elementary School,048439,Ridgedale Local,Marion,307,19.9,3,83.6,81.1,80.7
067827,Versailles Middle School,045633,Versailles Exempted Village,Darke,376,1.3,5,111.6,111.2,110.2
067835,East Muskingum Middle School,048835,East Muskingum Local,Muskingum,529,14.1,4,91.1,93.7,93.8
067843,Oak Harbor Intermediate School,048926,Benton Carroll Salem Local,Ottawa,314,7.0,4,95.5,96.0,94.4
067850,West Muskingum Middle School,048884,West Muskingum Local,Muskingum,514,22.5,3,87.7,87.1,87.1
067868,Licking Heights Middle School,048009,Licking Heights Local,Licking,781,13.7,2,76.6,75.7,80.6
067876,Watkins Middle School,048041,Southwest Licking Local,Licking,1142,16.8,3,88.1,87.5,85.8
067900,Groveport Madison Middle School South,046979,Groveport Madison Local,Franklin,470,42.0,2,59.7,61.7,62.8
