irn,district,distribution,counties,amount
151209,LIFE SKILLS CENTER OF,2017-08,1,2665.72
000125,POLLY FOX ACADEMY,2018-01,1,1146.62
000130,PHOENIX ACADEMY,2018-01,3,5533.77
000131,GLASS CITY ACADEMY INC,2018-01,1,6206.7
000138,PATHWAY SCHOOL OF DISCOVERY,2018-01,4,19203.16
000139,ALLIANCE ACADEMY,2018-01,4,13960.67
000162,NEWARK DIGITAL ACADEMY,2018-01,8,7849.07
000222,WILDWOOD ENVIRONMENTAL ACADEMY,2018-01,2,8849.22
000236,OHIO CONNECTIONS ACADEMY INC,2018-01,88,110365.54
000241,QUAKER DIGITAL ACADEMY,2018-01,48,16128.48
000282,GREATER OHIO VIRTUAL SCHOOL,2018-01,20,11590.09
000288,AUGLAIZE COUNTY EDUCATIONAL,2018-01,8,2323.61
000296,SUMMIT ACAD. COMM. SCHOOL,2018-01,2,2065.77
000297,SUMMIT ACAD. COMM. SCHOOL DAY,2018-01,5,3287.89
000298,SUMMIT ACADEMY SECONDARY,2018-01,1,1991.67
000300,SUMMIT ACAD. SEC. SCHOOL,2018-01,4,2717.28
000301,SUMMIT ACAD. SEC. SCHOOL LOR,2018-01,2,3514.64
000302,SUMMIT ACAD. COMM. SCHOOL PAR,2018-01,3,4902.38
000303,SUMMIT ACAD. SEC. SCHOOL,2018-01,3,6014.84
000305,SUMMIT ACAD. COMM. SCHOOL WAR,2018-01,2,2989.04
000306,SUMMIT ACAD. COMM. SCHOOL,2018-01,3,3510.07
000311,BRIDGES COMMUNITY ACADEMY,2018-01,3,4026.31
000316,CONSTELLATION SCHOOLS WESTPARK,2018-01,1,5424.9
000318,MENLO PARK ACADEMY,2018-01,6,10378.26
000319,CONSTELLATION SCH MADISON,2018-01,1,7241.49
000320,CONSTELLATION SCHOOLS LORAIN,2018-01,1,3085.5
000321,CONSTELLATION SCH OLD BROOKLYN,2018-01,1,6694.03
000338,HORIZON SCI ACADEMY,2018-01,2,13335.64
000360,MIAMISBURG SECONDARY DIGITAL,2018-01,1,1195.48
000402,FINDLAY DIGITAL ACADEMY,2018-01,1,4229.14
000417,BUCKEYE ON-LINE SCH FOR SUCCS,2018-01,56,15852.29
000442,MANCHESTER LOCAL SCHOOL DIST,2018-01,3,21465.43
000509,WHITEHALL PREPARATORY &,2018-01,1,7466.63
000510,SPRINGFIELD PREPARATORY &,2018-01,1,3785.09
000511,NORTHLAND PREPARATORY &,2018-01,1,6919.08
000525,PROJECT REBUILD COMMUNITY SCHL,2018-01,1,3290.87
000527,CASTLE HIGH SCHOOL INC,2018-01,3,4131.01
000534,CONSTELLATION SCHOOLS PURITAS,2018-01,2,3732.72
000543,PINNACLE ACADEMY,2018-01,4,18688.83
000546,WINTERFIELD VENTURE ACADEMY,2018-01,1,12612.82
000553,COLUMBUS HUMANITIES ARTS &,2018-01,7,13539.79
000556,A+ ARTS ACADEMY,2018-01,2,16575.98
000557,COLUMBUS ARTS &,2018-01,5,14659.64
000558,COLUMBUS PREPARATORY ACADEMY,2018-01,6,18542.43
000559,ORION ACADEMY,2018-01,2,14383.56
000560,APEX ACADEMY,2018-01,1,13139.2
000575,HOPE ACADEMY NORTHWEST CAMPUS,2018-01,3,5972.44
000576,KING ACADEMY COMMUNITY SCHOOL,2018-01,3,3409.39
000577,EMERSON ACADEMY,2018-01,2,15516.34
000598,COSHOCTON OPPORTUNITY SCHOOL,2018-01,1,723.35
000608,SUMMIT ACADEMY TRANSITION HIGH,2018-01,2,2040.72
000609,SUMMIT ACAD. MIDDLE SCH LORAIN,2018-01,1,3807.11
000610,SUMMIT ACAD. MIDDLE SCH COL.,2018-01,2,1742.5
000613,HEIR FORCE COMMUNITY SCHOOL,2018-01,2,6037.59
000614,SUMMIT ACADEMY TRANSITION HIGH,2018-01,2,1643.33
000616,SUMMIT ACAD. SCH FOR ALT.,2018-01,1,2266.64
000621,SUMMIT ACADEMY TRANSITION HIGH,2018-01,7,4259.72
000623,SUMMIT ACADEMY - YOUNGSTOWN,2018-01,2,5240.84
000629,SUMMIT ACADEMY COMMUNITY,2018-01,3,2192.03
000634,SUMMIT ACADEMY SECONDARY,2018-01,5,3511.24
000640,RITTMAN ACADEMY,2018-01,2,847.64
000664,LIFE SKILLS CENTER OF COLUMBUS,2018-01,3,2936.94
000677,NEW DAY ACADEMY BOARDING,2018-01,2,3583.49
000679,OAKSTONE COMMUNITY SCHOOL,2018-01,9,6696.54
000725,ZENITH ACADEMY,2018-01,1,14410.59
000736,PHOENIX VILL. ACAD. PRIMARY 2,2018-01,1,3483.88
000738,PHOENIX VILL. ACAD. SEC. 1,2018-01,1,1791.71
000770,MARITIME ACADEMY OF TOLEDO INC,2018-01,2,7278.55
000779,EDUCATIONAL ACADEMY FOR BOYS,2018-01,1,2364.43
000780,MIDNIMO CROSS CULTURAL MIDDLE,2018-01,1,2737.76
000804,HORIZON SCIENCE ACADEMY,2018-01,1,7166.86
000808,HORIZON SCIENCE ADADEMY DAYTON,2018-01,1,4582.66
000813,LIFE SKILLS CENTER OF DAYTON,2018-01,6,3262.67
000825,HORIZON SCIENCE ACADEMY,2018-01,1,8250.68
000838,HORIZON SCIENCE ACADEMY-,2018-01,1,6768.68
000843,BENNETT VENTURE ACADEMY,2018-01,2,18021.93
000855,STAMBAUGH CHARTER ACADEMY,2018-01,3,9561.23
000858,HORIZON SCIENCE ACAD CLEVELAND,2018-01,2,9207.42
000875,WESTSIDE ACADEMY INC,2018-01,1,4579.53
000905,IMAC INC,2018-01,1,697.83
000912,ACADEMIC ACCELERATION ACADEMY,2018-01,2,4031.98
000930,CLEVELAND ENTREPRENEURSHIP,2018-01,2,8087.63
000936,PROMISE ACADEMY,2018-01,2,5723.59
000938,PREMIER ACADEMY OF OHIO,2018-01,1,1941.32
000941,PAR EXCELLENCE ACADEMY,2018-01,1,3687.5
000942,LAKEWOOD CITY ACADEMY,2018-01,1,2513.37
000951,TOLEDO PREP. AND FITNESS ACAD,2018-01,2,5134.94
000952,COLUMBUS PREPARATORY,2018-01,1,9930.62
000953,CINCINNATI PREPARATORY &,2018-01,3,6445.39
007984,YOUNGSTOWN ACAD OF EXCELLENCE,2018-01,2,3320.18
007995,CLEVELAND ARTS  SCI.,2018-01,1,6420.29
007999,CHARLES SCHOOL,2018-01,4,8860.63
008000,MANSFIELD PREPARATORY ACADEMY,2018-01,1,12814.78
008063,LIFE SKILLS CTR OF NORTH AKRON,2018-01,3,2564.73
008064,ACADEMY OF ARTS,2018-01,3,2924.14
008251,MAHONING VALLEY,2018-01,2,1522.81
008278,NOBLE ACADEMY-CLEVELAND INC,2018-01,3,10576.25
008280,NOBLE ACADEMY-COLUMBUS INC,2018-01,1,8835.51
008281,SOUTH SCIOTO ACADEMY,2018-01,2,5052.45
008282,LIFE SKILLS CTR OF COL. NORTH,2018-01,3,2712.87
008283,DAYTON TECH. DESIGN HIGH SCH,2018-01,3,4059.74
008286,HARVARD AVE COMMUNITY SCHOOL,2018-01,1,8112.46
008287,GROVEPORT COMMUNITY SCHOOL,2018-01,3,19662.21
008289,EAGLE LEARNING CENTER INC,2018-01,2,1695
009122,COLUMBUS COLLEGIATE,2018-01,2,5799.09
009147,NORTHPOINTE ACADEMY,2018-01,1,6331.33
009148,ZANESVILLE COMM. HIGH SCH,2018-01,4,3055.94
009149,CONSTELLATION SCHOOLS WESTSIDE,2018-01,2,10227.7
009164,CENTRAL ACADEMY OF OHIO,2018-01,1,2941.33
009171,STAR ACADEMY OF TOLEDO,2018-01,4,4262.73
009179,HORIZON SCIENCE ACADEMY INC,2018-01,2,12394.59
009181,CLAY AVENUE COMMUNITY SCHOOL,2018-01,1,11117.23
009192,FOUNDATION ACADEMY,2018-01,3,9719.98
009283,DAYTON EARLY COLLEGE ACAD.,2018-01,1,7870.21
009953,SULLIVANT AVE COMM. SCHOOL,2018-01,2,9159.18
009954,HARRISBURG PIKE COMM. SCHOOL,2018-01,1,6570.63
009955,MADISON AVENUE SCHOOL OF ARTS,2018-01,1,13036.57
009957,KLEPINGER COMMUNITY SCHOOL,2018-01,3,11406.8
009971,ASHLAND CTY COMM. ACADEMY,2018-01,4,2229.96
009990,HORIZON SCI. ACAD. ELEMENTARY,2018-01,2,17695.9
009996,MAHONING COUNTY HIGH SCHOOL,2018-01,3,2521.38
009997,KIPP CENTRAL OHIO,2018-01,5,29817.04
010007,HORIZON SCI. ACAD. DENISON,2018-01,1,3210.15
010036,CESAR CHAVEZ COLLEGE PREP.,2018-01,1,8088.85
010180,MOUNT AUBURN INT. ACAD.,2018-01,1,12367.81
010182,PERFORMANCE ACADEMY EASTLAND,2018-01,1,8487.07
010205,L HOLLINGWORTH SCH FOR TAL.,2018-01,1,8425.16
011291,VILLAGE PREPARATORY SCHOOL,2018-01,2,10352.12
011324,HARDIN COMMUNITY SCHOOL,2018-01,1,898.59
011381,GREATER SUMMIT CTY EARLY LEARN,2018-01,2,3510.36
011390,BELLA ACADEMY OF EXCELLENCE,2018-01,2,7888.64
011439,RENAISSANCE ACADEMY,2018-01,2,4056.9
011444,RUSHMORE ACADEMY,2018-01,5,8275.12
011468,COLUMBUS BILINGUAL ACAD. - N.,2018-01,2,6670.18
011506,DAYTON REGIONAL STEM SCHOOL,2018-01,7,16343.76
011507,ACHIEVE CAREER PREP. ACAD.,2018-01,2,3240.41
011511,NORTH CENTRAL ACADEMY,2018-01,5,1747
011533,HORIZON SCI. ACAD. OF LORAIN,2018-01,1,16995.14
011534,HORIZON SCIENCE ACADEMY DAYTON,2018-01,1,8268.7
011923,NORTHEAST OHIO COLLEGE PREP.,2018-01,4,12492.36
011947,IMAGINE AKRON ACADEMY,2018-01,1,1269.69
011956,RCCS,2018-01,2,1617.93
011967,RICHLAND ACAD. SCH OF EXC.,2018-01,3,7426.98
011972,GRAHAM EXPED. MIDDLE SCHOOL,2018-01,3,10826.62
011976,HORIZON SCIENCE ACADEMY DAYTON,2018-01,1,5603.79
011986,HORIZON SCI. ACAD. YOUNGSTOWN,2018-01,1,10260.65
012009,ZENITH ACADEMY-EAST,2018-01,2,6894.26
012010,CLEVELAND COLLEGE PREP.,2018-01,1,7191.72
012011,COLUMBUS PERFORMANCE ACADEMY,2018-01,2,5102.23
012025,CONSTELLATION SCH STOCKYARD,2018-01,1,1692.17
012026,CONSTELLATION SCHOOLS CENTRAL,2018-01,2,3036
012029,CITIZENS LEADERSHIP ACADEMY,2018-01,2,6519.83
012030,NEAR WEST SCHOOL,2018-01,3,5897.71
012031,ENTREPRENEURSHIP PREP. SCHOOL,2018-01,1,7664.54
012033,FOXFIRE INTERMEDIATE SCHOOL,2018-01,3,801.39
012036,THURGOOD MARSHALL HIGH SCHOOL,2018-01,1,4703.24
012037,NEW BEGINNINGS ACADEMY,2018-01,1,3957.31
012038,LANGSTON HUGHES HIGH SCHOOL,2018-01,1,4354.85
012040,ROAD TO SUCCESS ACADEMY,2018-01,1,2563.54
012041,THE ARCH ACADEMY,2018-01,2,3360.05
012042,GEORGE V VOINOVICH RECLAMATION,2018-01,1,1916.13
012043,FREDERICK DOUGLASS RECLAMATION,2018-01,1,2115.21
012044,CAPITAL HIGH SCHOOL,2018-01,1,4753.75
012045,PATRIOT PREPARATORY ACADEMY,2018-01,3,13788.87
012054,NORTH CENTRAL ACADEMY FREMONT,2018-01,4,2526.2
012060,AKROS MIDDLE SCHOOL,2018-01,1,3012.41
012105,SOUTHSIDE ACADEMY INC,2018-01,1,3694.83
012391,METRO EARLY COLLEGE HIGH SCH,2018-01,6,22948.17
012501,BEACON HILL COMMUNITY SCHOOL,2018-01,3,1669.42
012513,CINCINNATI COLLEGE PREPARATORY,2018-01,1,3608.31
012528,ACADEMY FOR URBAN SOLUTIONS,2018-01,1,7416.85
012529,FOCUS NORTH HIGH SCHOOL,2018-01,2,4778.73
012536,UBAH MATH  ACADEMY,2018-01,1,4081.76
012541,UNIVERSITY OF CLEVELAND PREP.,2018-01,2,9406.58
012545,IMAGINE WOODBURY ACADEMY,2018-01,1,4084.54
012558,GLOBAL VILLAGE ACADEMY INC,2018-01,1,3981.58
012627,STEAM ACADEMY OF YOUNGSTOWN,2018-01,2,4755.13
012644,STEAM ACADEMY OF WARREN,2018-01,3,3786.72
012671,CONSTELLATION SCH EASTSIDE,2018-01,1,3085.72
012684,BROADWAY ACADEMY,2018-01,2,2986.28
012852,CITIZENS ACADEMY EAST,2018-01,1,9904.17
012867,TOWNSEND NORTH COMM. SCH,2018-01,29,26945.76
012924,DECA PREP,2018-01,2,21593.3
012951,COLUMBUS COLLEGIATE ACAD. - W.,2018-01,1,6097.75
013034,VILLAGE PREP. SCH:WOODLA,2018-01,1,10949.34
013082,THE HALEY SCHOOL,2018-01,1,4952.09
013132,LAKE ERIE COLLEGE PREP.,2018-01,2,5947.54
013146,STEAM Academy of Dayton,2018-01,3,5554.9
013147,STEAM ACAD. OF WARRENSVILLE,2018-01,2,4230.47
013148,STEPSTONE ACADEMY,2018-01,2,6395.4
013170,HOPE ACADEMY FOR AUTISM,2018-01,3,1544.59
013173,IMAGINE HILL AVENUE,2018-01,1,3215.52
013175,KIDS UNLIMITED ACADEMY,2018-01,2,7976.56
013195,ACADEMY OF EDU. EXCELLENCE,2018-01,2,3689.29
013198,BROOKWOOD ACADEMY,2018-01,2,2464.02
013199,NEXUS ACADEMY OF CLEVELAND,2018-01,1,2662.68
013226,LIFE SKILLS HIGH SCH OF CLEVE,2018-01,1,2662.68
013232,A+ CHILDRENS ACADEMY,2018-01,1,2936.87
013249,ACADEMY FOR URB. SCH. YOUNGSTO,2018-01,1,3869.59
013253,OHIO COLLEGIATE ACADEMY,2018-01,3,7117.19
013254,AKRON PREPARATORY SCHOOL,2018-01,3,4282.37
013255,CANTON COLL. PREP. SCH,2018-01,2,4637.1
013864,CINCINNATI TECHNOLOGY ACADEMY,2018-01,1,5698.65
013892,FRANKLINTON PREP. ACAD.,2018-01,1,4430.2
013930,GLOBAL IMPACT STEM ACADEMY,2018-01,7,15293.98
013962,LIBERTY PREPARTORY SCHOOL,2018-01,4,1271.45
013967,CINCINNATI LEARNING SCHOOLS,2018-01,1,5499.57
013994,ALBERT EINSTEIN ACAD.,2018-01,3,6146.67
013999,Rise & Shine Academy,2018-01,1,2417.87
014061,CHAPELSIDE CLEVELAND ACADEMY,2018-01,2,6445.28
014063,UNIVERSITY ACADEMY,2018-01,1,5128.56
014064,WINTON PREPARATORY ACADEMY,2018-01,1,9655.35
014065,LINCOLN PARK ACADEMY,2018-01,1,4877.43
014066,MAIN ST PREP. ACAD.,2018-01,1,3211.57
014067,OHIO CONSTRUCTION ACADEMY,2018-01,2,846.23
014081,INSIGHT SCHOOL OF OHIO,2018-01,82,33174.24
014090,BERWYN EAST ACADEMY,2018-01,2,3957.32
014091,HOPE LEARNING ACAD. OF TOLEDO,2018-01,2,1520.52
014121,IMAGINE LEADERSHIP ACADEMY,2018-01,1,4555.95
014139,IMAGINE COL. PRIMARY SCHOOL,2018-01,1,5848.86
014147,EAST PREPARATORY ACADEMY,2018-01,3,5176.17
014149,DAYTON SMART ELEMENTARY SCHOOL,2018-01,1,2316.23
014187,EAST ACADEMY,2018-01,2,7017.59
014188,DISCOVERY ACADEMY,2018-01,1,7777.07
014189,WEST PARK ACADEMY,2018-01,3,5325.38
014231,BIO-MED SCI. ACAD. STEM SCH,2018-01,10,14405.68
014467,UNITED PREPARATORY ACADEMY,2018-01,1,6769.74
014825,BUCKEYE PREP. ACADEMY,2018-01,1,4579.53
014830,UTICA SHALE ACAD. OF OHIO,2018-01,3,1546.09
014858,REACH ACADEMY,2018-01,2,5907.58
014864,TOLEDO SMART ELEM. SCH.,2018-01,1,4636.33
014904,T2 HONORS ACADEMY,2018-01,1,2886.64
014913,LAKESHORE INTERGENERATIONAL,2018-01,3,5101.46
014927,STEEL ACADEMY,2018-01,3,2290.54
014943,VALLEY STEM+ME2 ACADEMY,2018-01,4,4792.95
015234,ZENITH ACADEMY WEST,2018-01,1,5400.86
015236,CLARK PREPARATORY ACADEMY,2018-01,1,2739.21
015237,FLEX HIGH SCHOOL,2018-01,3,3832.93
015239,STONEBROOK MONTESSORI,2018-01,2,3085.74
015261,CITIZENS ACADEMY SOUTHEAST,2018-01,1,8635.04
015329,ISTEM GEAUGA EARLY COLLEGE HS,2018-01,4,3713.7
015344,Tri-State STEM+M Early College,2018-01,1,1195.21
015709,BEACON ACADEMY,2018-01,1,4263.17
015710,BRIDGE GATE COMMUNITY SCHOOL,2018-01,1,2488.88
015712,Euclid Preparatory School,2018-01,4,3608.53
015713,EAST BRANCH PREPATORY ACAD.,2018-01,1,3116.35
015714,URBAN EARLY COLLEGE NETWORK,2018-01,2,4109.54
015722,VILLAGE PREP SCHOOL WILLIARD,2018-01,1,4479.27
015736,iLEAD SPRING MEADOWS,2018-01,3,3813.82
015737,GLOBAL AMBASS. LANG. ACAD.,2018-01,4,3110.84
015741,WESTWOOD PREPARTORY ACAD,2018-01,3,5326.68
016829,South Columbus Preparatory Aca,2018-01,2,2240
016836,Kids Care Elementary,2018-01,1,1343.99
016837,Orchard Park Academy,2018-01,1,1542.86
016843,Citizens Leadership Academy Ea,2018-01,1,1443.32
016849,Liberty High School,2018-01,1,1743.4
016850,Southwest Ohio Preparatory Sch,2018-01,1,5748.42
016858,United Preparatory Academy Eas,2018-01,1,1169.77
043489,AKRON CITY SCHOOLS,2018-01,1,521644.02
043497,ALLIANCE CITY BOARD OF EDU,2018-01,3,69846.32
043505,ASHLAND CITY BOARD OF,2018-01,2,82994.77
043513,ASHTABULA AREA CITY SCHOOL,2018-01,1,85517.43
043521,ATHENS CITY SCHOOL DISTRICT,2018-01,1,65261.47
043539,BARBERTON BOARD OF EDUCATION,2018-01,1,92687.48
043547,BAY VILLAGE CITY SCHOOL,2018-01,1,61316.28
043554,BEACHWOOD BOARD OF EDUCATION,2018-01,1,34266.44
043562,BEDFORD BOARD OF EDUCATION,2018-01,2,78959.66
043570,BELLAIRE CITY SCHOOL DISTRICT,2018-01,1,29656.5
043588,BELLEFONTAINE CITY SCHOOL,2018-01,1,60984.4
043596,BELLEVUE CITY SCHOOL DISTRICT,2018-01,4,49473.55
043604,BELPRE CITY SCHOOL DISTRICT,2018-01,1,25962.58
043612,BEREA CITY SCHOOL DISTRICT,2018-01,1,148214.2
043620,BEXLEY CITY SCHOOL DISTRICT,2018-01,1,59608.58
043638,BOWLING GREEN SCHOOL DISTRICT,2018-01,2,76724.29
043646,BRECKSVILLE BROADVIEW HEIGHTS,2018-01,2,93840.82
043653,BROOKLYN LOCAL SCHOOL DISTRICT,2018-01,1,32176.12
043661,BRUNSWICK CITY SCHOOL DISTRICT,2018-01,2,178955.52
043679,BRYAN CITY SCHOOLS,2018-01,1,50313.22
043687,BUCYRUS CITY SCHOOL DISTRICT,2018-01,1,31674.65
043695,CAMBRIDGE CITY BOARD OF,2018-01,1,50117.9
043703,CAMPBELL CITY SCHOOLS,2018-01,1,27786.13
043711,CANTON CITY SCHOOL DISTRICT,2018-01,1,208621.17
043729,CELINA CITY BOARD OF EDU,2018-01,2,63823.88
043737,CENTERVILLE CITY SCHOOL,2018-01,3,200815.03
043745,CHILLICOTHE CITY SCHOOL,2018-01,1,71609.77
043752,CINCINNATI PUBLIC SCHOOLS,2018-01,1,807963.84
043760,CIRCLEVILLE CITY SCHOOL,2018-01,2,53368.43
043778,CLAYMONT CITY BOARD OF EDU,2018-01,3,49761.38
043786,CLEVELAND CITY SCHOOL DISTRICT,2018-01,1,928578.32
043794,CLEVELAND HEIGHTS UNIVERSITY,2018-01,1,125046.4
043802,COLUMBUS PUBLIC SCHOOL,2018-01,1,1228086.12
043810,CONNEAUT AREA CITY SCHOOLS,2018-01,1,41650.2
043828,COSHOCTON CITY SCHOOL DISTRICT,2018-01,1,39335.29
043836,CUYAHOGA FALLS CITY SCHOOLS,2018-01,1,117720.32
043844,DAYTON CITY SCHOOL DISTRICT,2018-01,1,310873.41
043851,DEER PARK COMMUNITY CITY,2018-01,1,31877.59
043869,DEFIANCE CITY SCHOOLS,2018-01,2,64155.88
043877,DELAWARE CITY SCHOOLS,2018-01,1,139360.28
043885,DELPHOS CITY SCHOOL DISTRICT,2018-01,3,24987.1
043893,DOVER CITY SCHOOL DISTRICT,2018-01,1,69907.35
043901,EAST CLEVELAND CITY SCHOOL,2018-01,1,52059.11
043919,EAST LIVERPOOL CITY SCHOOLS,2018-01,1,51161.66
043927,EAST PALESTINE CITY SCHOOL,2018-01,2,26353.91
043935,EATON CITY SCHOOLS,2018-01,2,51849.59
043943,ELYRIA CITY SCHOOL DISTRICT,2018-01,1,150617.25
043950,EUCLID BOARD OF EDUCATION,2018-01,2,124076
043968,FAIRBORN CITY SCHOOLS,2018-01,3,105140.58
043976,FAIRVIEW PARK CITY SCHOOL DIST,2018-01,1,44095.96
043984,FINDLAY CITY SCHOOLS,2018-01,1,131716.52
043992,FOSTORIA CITY SCHOOLS,2018-01,3,43851.2
044008,FRANKLIN CITY SCHOOLS,2018-01,3,75943.68
044016,FREMONT CITY BOARD OF EDU,2018-01,3,96883.52
044024,GALION CITY SCHOOL DISTRICT,2018-01,3,44991.72
044032,GALLIPOLIS CITY SCHOOLS,2018-01,1,50719.91
044040,GARFIELD HEIGHTS CITY SCHOOL,2018-01,1,89709.9
044057,GENEVA AREA CITY SCHOOL DIST,2018-01,2,62176.36
044065,GIRARD CITY SCHOOL DISTRICT,2018-01,2,42570.33
044073,GRANDVIEW HEIGHTS CITY SCHOOL,2018-01,1,27178.53
044081,WINTONWOODS CITY SCHOOL,2018-01,2,92298.46
044099,GREENVILLE CITY SCHOOL,2018-01,1,64398.54
044107,HAMILTON BOARD OF EDUCATION,2018-01,1,245779.34
044115,HEATH CITY SCHOOL DISTRICT,2018-01,1,43602.15
044123,HILLSBORO CITY BOARD OF EDU,2018-01,1,59057.74
044131,HURON CITY SCHOOL DISTRICT,2018-01,1,33791.89
044149,IRONTON CITY BOARD OF,2018-01,1,34511.59
044156,JACKSON CITY SCHOOL DISTRICT,2018-01,5,62463.87
044164,KENT CITY BOARD OF EDUCATION,2018-01,2,77465.32
044172,KENTON CITY SCHOOLS,2018-01,3,46104.59
044180,KETTERING CITY SCHOOL,2018-01,2,188239.81
044198,LAKEWOOD CITY SCHOOL DISTRICT,2018-01,1,120517.35
044206,LANCASTER CITY SCHOOLS,2018-01,1,156717.98
044214,LEBANON CITY SCHOOL DISTRICT,2018-01,2,140688.39
044222,LIMA CITY BOARD OF EDU,2018-01,1,88666.75
044230,LOCKLAND CITY SCHOOLS,2018-01,1,12965.05
044248,LOGAN HOCKING LOCAL SCHOOLS,2018-01,5,95108.14
044255,LONDON CITY SCHOOL DISTRICT,2018-01,2,53266.4
044263,LORAIN CITY SCHOOLS,2018-01,1,158343.45
044271,LOVELAND CITY SCHOOL DISTRICT,2018-01,3,115517.15
044289,MADEIRA CITY SCHOOLS,2018-01,1,37451.82
044297,MANSFIELD BOARD OF EDUCATION,2018-01,1,82892.7
044305,MAPLE HEIGHTS BOARD OF,2018-01,1,85902.51
044313,MARIEMONT CITY SCHOOL DISTRICT,2018-01,2,41484.28
044321,MARIETTA CITY SCHOOL DISTRICT,2018-01,1,68914.09
044339,MARION CITY SCHOOLS,2018-01,1,105131.5
044347,MARTINS FERRY CITY SCHOOL,2018-01,2,35430.41
044354,MASSILLON CITY SCHOOL DISTRICT,2018-01,1,95235.76
044362,MAUMEE CITY SCHOOL DISTRICT,2018-01,2,58876.43
044370,MAYFIELD CITY SCHOOL DISTRICT,2018-01,3,99764.32
044388,MEDINA CITY SCHOOLS,2018-01,1,172818.62
044396,MIAMISBURG CITY SCHOOLS,2018-01,1,132498.51
044404,MIDDLETOWN CITY SCH DIST.,2018-01,2,159890.29
044412,MOUNT HEALTHY CITY SCH DIST.,2018-01,1,79208.72
044420,MOUNT VERNON CITY SCHOOL,2018-01,2,97716.5
044438,NAPOLEON CITY SCHOOL DISTRICT,2018-01,3,49048.42
044446,NELSONVILLE YORK CITY SCHOOL,2018-01,3,30091.58
044453,NEWARK CITY SCHOOL DISTRICT,2018-01,1,155472.8
044461,NEW BOSTON BOARD OF EDUCATION,2018-01,1,10736.75
044479,NEW LEXINGTON CITY SCHOOLS,2018-01,3,43643.39
044487,NEW PHILADELPHIA CITY SCHOOLS,2018-01,1,77373.41
044495,NILES CITY SCHOOLS,2018-01,1,58210.23
044503,NORTH CANTON CITY SCHOOLS,2018-01,2,106192.65
044511,NORTH COLLEGE HILL CITY SCH,2018-01,1,43075.81
044529,NORTH OLMSTED CITY SCHOOL,2018-01,1,93542.16
044537,NORTH RIDGEVILLE CITY SCH DIST,2018-01,2,109286.48
044545,NORTH ROYALTON CITY SCHOOL,2018-01,1,102027.9
044552,NORTON CITY SCHOOLS,2018-01,3,61320.56
044560,NORWALK BOARD OF EDUCATION,2018-01,2,69776.6
044578,NORWOOD CITY SCHOOL DISTRICT,2018-01,1,48849.11
044586,OAKWOOD CITY SCHOOLS,2018-01,1,51604.68
044594,OBERLIN CITY SCHOOL DISTRICT,2018-01,1,24186.35
044602,OREGON CITY SCHOOLS,2018-01,3,88901.35
044610,ORRVILLE CITY SCHOOL DISTRICT,2018-01,1,40658.4
044628,PAINESVILLE CITY LOCAL SCHOOLS,2018-01,1,71325.56
044636,PARMA CITY SCHOOL DISTRICT,2018-01,1,252133.35
044644,PIQUA CITY SCHOOL DISTRICT,2018-01,2,86528.75
044651,PORT CLINTON CITY SCHOOLS,2018-01,2,43005.73
044669,PORTSMOUTH CITY SCHOOL,2018-01,1,42822.12
044677,PRINCETON CITY SCHOOL DISTRICT,2018-01,3,147350.59
044685,RAVENNA CITY SCHOOL DISTRICT,2018-01,1,58850.97
044693,READING BOARD OF EDUCATION,2018-01,1,39865.65
044701,ROCKY RIVER CITY SCHOOL,2018-01,1,66243.48
044719,ST BERNARD ELMWOOD PLACE CITY,2018-01,1,24461.88
044727,ST MARYS CITY BOARD OF,2018-01,2,50109.52
044735,SALEM CITY SCHOOL DISTRICT,2018-01,2,53257.28
044743,SANDUSKY BOARD OF EDUCATION,2018-01,1,77456.4
044750,SHAKER HEIGHTS BOARD OF,2018-01,1,122060.21
044768,SHEFFIELD SHEFFLD LAKE CITY,2018-01,1,43433.4
044776,SHELBY CITY BOARD OF EDU,2018-01,2,48026.76
044784,SIDNEY CITY SCHOOL DISTRICT,2018-01,2,83149.21
044792,SOUTH EUCLID LYNDHURST CITY,2018-01,1,83339.38
044800,SOUTH-WESTERN CITY SCHOOLS,2018-01,2,559959.95
044818,SPRINGFIELD CITY SCHOOLS,2018-01,1,186440.56
044826,STEUBENVILLE CITY SCHOOL,2018-01,1,57338.46
044834,STOW-MUNROE FALLS CITY,2018-01,2,131644.86
044842,STRONGSVILLE CITY SCHOOLS,2018-01,3,134826.2
044859,STRUTHERS CITY SCHOOL DISTRICT,2018-01,1,47808.12
044867,SYCAMORE COMMUNITY SCHOOL DIST,2018-01,2,134827.02
044875,SYLVANIA CITY SCHOOL DISTRICT,2018-01,1,190762.62
044883,TALLMADGE CITY SCHOOL DISTRICT,2018-01,2,58757.35
044891,TIFFIN CITY SCHOOLS,2018-01,1,66467.76
044909,TOLEDO PUBLIC SCHOOLS,2018-01,2,547760.16
044917,TORONTO CITY SCHOOL DISTRICT,2018-01,1,22258.18
044925,TROY CITY SCHOOLS,2018-01,1,110833.92
044933,UPPER ARLINGTON CITY SCHOOLS,2018-01,1,153837.43
044941,URBANA CITY SCHOOLS,2018-01,2,50460
044958,VANDALIA-BUTLER CITY SCHOOLS,2018-01,1,74169.28
044966,VAN WERT CITY SCHOOLS,2018-01,2,49192.82
044974,WADSWORTH CITY SCHOOLS,2018-01,3,113954.76
