irn,district,distribution,counties,amount
013226,LIFE SKILLS HIGH SCH OF CLEVE,2015-08,2,2572.97
013232,A+ CHILDRENS ACADEMY,2015-08,3,3052.61
013233,SOUTHERN OHIO ACADEMY,2015-08,3,1770.68
013240,CINCINNATI STATE STEM ACADEMY,2015-08,3,3759.14
013249,ACADEMY FOR URB. SCH. YOUNGSTO,2015-08,2,3669.66
013253,OHIO COLLEGIATE ACADEMY,2015-08,2,7239.4
013254,AKRON PREPARATORY SCHOOL,2015-08,1,7393.47
013255,CANTON COLL. PREP. SCH,2015-08,2,4526.78
013864,CINCINNATI TECHNOLOGY ACADEMY,2015-08,1,4894.14
013892,FRANKLINTON PREP. ACAD.,2015-08,2,2951.65
013930,GLOBAL IMPACT STEM ACADEMY,2015-08,4,3458.82
013962,LIBERTY PREPARTORY SCHOOL,2015-08,2,1692.1
013967,CINCINNATI LEARNING SCHOOLS,2015-08,1,5171.64
013994,ALBERT EINSTEIN ACAD.,2015-08,3,5196.2
013999,Rise & Shine Academy,2015-08,1,1816.77
014051,NORTHMONT SECONDARY ACADEMY,2015-08,1,1186.33
014061,CHAPELSIDE CLEVELAND ACADEMY,2015-08,2,10165.5
014062,LIFE SKILLS HIGH SCH OF MIDDLE,2015-08,4,1792.67
014063,UNIVERSITY ACADEMY,2015-08,2,5172.98
014064,WINTON PREPARATORY ACADEMY,2015-08,2,6660.09
014065,LINCOLN PARK ACADEMY,2015-08,2,5625.03
014066,MAIN ST PREP. ACAD.,2015-08,1,3229.91
014067,OHIO CONSTRUCTION ACADEMY,2015-08,2,782.08
014080,ALADDIN ACADEMY,2015-08,3,1520.1
014081,INSIGHT SCHOOL OF OHIO,2015-08,85,34569.63
014090,BERWYN EAST ACADEMY,2015-08,2,3002.14
014091,HOPE LEARNING ACAD. OF TOLEDO,2015-08,2,1438.31
014094,LAWRENCE COUNTY ACADEMY,2015-08,3,3104.93
014121,IMAGINE LEADERSHIP ACADEMY,2015-08,2,5198.2
014130,THE NEXT FRONTIER ACADEMY,2015-08,1,933.65
014132,STEAM ACADEMY OF CINCINNATI,2015-08,2,1437.98
014139,IMAGINE COL. PRIMARY SCHOOL,2015-08,1,4086.9
014147,EAST PREPARATORY ACADEMY,2015-08,1,4262.92
014148,PROVOST ACADEMY OHIO,2015-08,39,4697.17
014149,DAYTON SMART ELEMENTARY SCHOOL,2015-08,2,2296.99
014158,CELERITY TENACIA CHARTER SCH,2015-08,1,1009.11
014187,EAST ACADEMY,2015-08,1,7315.07
014188,DISCOVERY ACADEMY,2015-08,1,5753.1
014189,WEST PARK ACADEMY,2015-08,1,7516.86
014194,WATKINS ACADEMY,2015-08,1,1943.56
014231,BIO-MED SCI. ACAD. STEM SCH,2015-08,6,5742.11
014467,UNITED PREPARATORY ACADEMY,2015-08,1,2522.78
014825,BUCKEYE PREP. ACADEMY,2015-08,1,3330.07
014830,UTICA SHALE ACAD. OF OHIO,2015-08,2,1060.88
014858,REACH ACADEMY,2015-08,2,7090.48
014864,TOLEDO SMART ELEM. SCH.,2015-08,1,857.92
014904,T2 HONORS ACADEMY,2015-08,1,1412.57
014912,NORWOOD CONVERSION COMM.,2015-08,1,731.6
014913,LAKESHORE INTERGENERATIONAL,2015-08,1,2547.66
014927,STEEL ACADEMY,2015-08,4,2675.01
014932,CINCINNATI GENERATION ACAD.,2015-08,1,3405.71
043489,AKRON CITY SCHOOLS,2015-08,1,525403.47
043497,ALLIANCE CITY BOARD OF EDU,2015-08,3,72961
043505,ASHLAND CITY BOARD OF,2015-08,2,82884.45
043513,ASHTABULA AREA CITY SCHOOL,2015-08,1,92536.78
043521,ATHENS CITY SCHOOL DISTRICT,2015-08,1,68702.45
043539,BARBERTON BOARD OF EDUCATION,2015-08,1,94374.04
043547,BAY VILLAGE CITY SCHOOL,2015-08,1,63590.65
043554,BEACHWOOD BOARD OF EDUCATION,2015-08,1,34380.82
