irn,district,county,tax_year,agricultural_value,residential_value,class1_value,mineral_value,industrial_value,commercial_value,railroad_value,class2_value,real_property_value,public_utility_value,total_value,class1_taxes_charged,class2_taxes_charged,real_property_taxes_charged,real_property_taxes_charged_with_jvsd,public_utility_taxes_charged,class1_rate,class2_rate,real_property_millage,public_utility_millage,value_per_pupil,adm
043570,BELLAIRE LSD,Belmont,2022,17322370,107833020,125155390,29910490,3142470,17206180,73720,50332860,175488250,150818190,326306440,2753431,1113599,3867030,4121488,4449136,22.0001,22.1247,22.0358,29.5,258403.6222,1262.7781
043570,BELLAIRE LSD,Belmont,2023,17268890,108228720,125497610,34180070,3128880,20890240,79460,58278650,183776260,157081430,340857690,2760947,1282194,4043141,4309616,4633902,22,22,22,29.5,266425.0324,1279.3756
043570,BELLAIRE LSD,Belmont,2024,25439930,128737440,154177370,38132510,5456350,24275950,78570,67943380,222120750,157645830,379766580,3314813,1460782,4775595,5097670,4571729,21.5,21.5,21.5,29,298123.6898,1273.8558
043588,Bellefontaine City SD,Logan,2021,11781530,212561100,224342630,0,12603170,66794870,444300,79842340,304184970,14716860,318901830,6629324,2968274,9597598,10205968,791472,29.55,37.1767,31.5518,53.7799,,
043588,BELLEFONTAINE CSD,Logan,2022,13311650,269279550,282591200,0,13233530,77670990,354200,91258720,373849920,15698580,389548500,8336440,3142384,11478824,12226523,843484,29.5,34.4338,30.7044,53.73,155493.556,2505.2389
043588,BELLEFONTAINE CSD,Logan,2023,13244900,270385130,283630030,0,15327880,73503900,354030,89185810,372815840,17566100,390381940,7785644,2865004,10650648,11396280,907816,27.45,32.12,28.57,51.68,158224.1676,2467.2713
043588,BELLEFONTAINE CSD,Logan,2024,13255140,271841810,285096950,0,12901050,73273620,389060,86563730,371660680,19545180,391205860,7968459,2825855,10794314,11537636,1019867,27.95,32.6448,29.0435,52.18,157974.9453,2476.3791
043596,Bellevue City SD,Huron,2021,48112430,194782770,242895200,0,18206780,29982310,42999030,91188120,334083320,17423470,351506790,6533879,2718508,9252387,10074325,602850,26.9,29.8121,27.6948,34.5999,,
043596,BELLEVUE CSD,Huron,2022,47867120,195694400,243561520,0,16909580,30387170,45201700,92498450,336059970,18936890,354996860,6503505,2792915,9296420,10116841,651426,26.7017,30.1942,27.663,34.3998,180994.7569,1961.3654
043596,BELLEVUE CSD,Huron,2023,61072840,203277800,264350640,0,16963340,30503690,49118620,96585650,360936290,19910750,380847040,6978855,2830952,9809807,10683504,678955,26.4,29.31,27.18,34.1,196131.2733,1941.7966
043596,BELLEVUE CSD,Huron,2024,79952420,250695180,330647600,0,18374270,34842320,46662910,99879500,430527100,22452710,452979810,8398447,2671295,11069742,11955895,743183,25.4,26.7452,25.7121,33.0999,240686.4093,1882.0332
043604,Belpre City SD,Washington,2021,5992490,135223280,141215770,7990,10889680,44852640,154240,55904550,197120320,24417230,221537550,4307434,1742388,6049822,6404638,1011386,30.5025,31.1672,30.691,41.421,,
043604,BELPRE CSD,Washington,2022,7019550,168841840,175861390,9900,10289600,47146170,173230,57618900,233480290,25238480,258718770,5097694,1696519,6794213,7214477,1009211,28.987,29.4438,29.0997,39.987,244454.1243,1058.3531
043604,BELPRE CSD,Washington,2023,7009130,168535550,175544680,9440,10282710,47114170,196590,57602910,233147590,26296270,259443860,5106208,1700483,6806691,7226357,1050641,29.09,29.52,29.19,39.95,249000.6837,1041.9404
043604,BELPRE CSD,Washington,2024,6556210,169059380,175615590,8760,9659210,47215460,220330,57103760,232719350,28094450,260813800,5101650,1696061,6797711,7216606,1121361,29.0501,29.7014,29.2099,39.914,257462.332,1013.0173
043612,Berea City SD,Cuyahoga,2021,0,1097531520,1097531520,1580,119048010,384982880,251870,504284340,1601815860,63192900,1665008760,37231561,23614980,60846541,64104131,4808979,33.923,46.8287,37.986,76.1,,
043612,BEREA CSD,Cuyahoga,2022,0,1100223610,1100223610,810,118646350,405469290,278090,524394540,1624618150,67375140,1691993290,37315073,24470818,61785891,65094804,5127248,33.9159,46.6649,38.031,76.1,302305.9688,5596.9563
043612,BEREA CSD,Cuyahoga,2023,0,1097614790,1097614790,1650,106444280,415511030,312180,522269140,1619883930,69920110,1689804040,37241850,24433003,61674853,64976642,5320920,33.93,46.78,38.07,76.1,307072.2408,5502.9528
043612,BEREA CSD,Cuyahoga,2024,0,1409400170,1409400170,1510,114363060,453863490,336820,568564880,1977965050,76834520,2054799570,38543571,24925600,63469171,67429023,5847106,27.3475,43.8395,32.0881,76.1,379930.4268,5408.3575
043620,Bexley City SD,Franklin,2021,0,633334770,633334770,0,0,24004420,0,24004420,657339190,7287020,664626210,27082281,1445150,28527431,28527431,851852,42.7614,60.2035,43.3983,116.8999,,
