fiscal_year,sponsor_irn,sponsor_name,county,sponsor_type,stream,sites,enrollment,enrollment_basis,free_lunch,reduced_lunch,identified,claimable
2009,050518,Wolf Creek,Washington,Public,single,2,608,adm,148,45,0,193
2009,050534,Chippewa Local SD,Wayne,Public,single,3,1415,adm,294,105,0,399
2009,050542,Dalton Local SD,Wayne,Public,single,3,942,adm,135,58,0,193
2009,050559,Green Local SD,Wayne,Public,single,4,1076,adm,210,82,0,292
2009,050567,Norwayne Local,Wayne,Public,single,4,1305,adm,301,119,0,420
2009,050575,Northwestern Local SD,Wayne,Public,single,3,1357,adm,451,185,0,636
2009,050583,Southeast Local SD,Wayne,Public,single,6,1672,adm,502,249,0,751
2009,050591,Triway Local,Wayne,Public,single,5,1825,adm,525,170,0,695
2009,050617,Edgerton Local Schools,Williams,Public,single,2,569,adm,133,52,0,185
2009,050625,Edon-Northwest Local SD,Williams,Public,single,1,602,adm,191,72,0,263
2009,050633,Millcreek-West Unity,Williams,Public,single,1,594,adm,218,50,0,268
2009,050641,North Central,Williams,Public,single,1,593,adm,238,58,0,296
2009,050658,Stryker Local SD,Williams,Public,single,1,467,adm,126,34,0,160
2009,050666,Wood,Wood,Public,single,1,52,adm,39,2,0,41
2009,050674,Eastwood Local SD,Wood,Public,single,5,1644,adm,240,102,0,342
2009,050682,Elmwood Local SD,Wood,Public,single,1,1298,adm,369,137,0,506
2009,050690,Lake Local SD,Wood,Public,single,3,1653,adm,559,138,0,697
2009,050708,North Baltimore,Wood,Public,single,2,782,adm,275,48,0,323
2009,050716,Northwood Local SD,Wood,Public,single,4,1225,adm,384,86,0,470
2009,050724,Otsego Local SD,Wood,Public,single,3,1878,adm,396,98,0,494
2009,050740,Mohawk Local SD,Wyandot,Public,single,1,960,adm,189,80,0,269
2009,050773,Apollo Jt Voc SD,Allen,Public,single,1,707,adm,259,69,0,328
2009,050799,Southern Hills,Brown,Public,single,1,332,adm,133,29,0,162
2009,050815,Ashtabula County,Ashtabula,Public,single,1,634,adm,302,67,0,369
2009,050856,Belmont-Harrison Jt Voc SD,Belmont,Public,single,4,527,adm,290,47,0,337
2009,050906,Columbiana County Career,Columbiana,Public,single,1,403,adm,155,47,0,202
2009,050922,Cuyahoga Valley Career Center,Cuyahoga,Public,single,1,940,adm,130,41,0,171
2009,050948,Polaris Jt Voc SD,Cuyahoga,Public,single,1,991,adm,162,32,0,194
2009,050963,Four County,Henry,Public,single,1,887,adm,272,101,0,373
2009,050989,Delaware Area Career Center,Delaware,Public,single,1,736,adm,132,13,0,145
2009,051029,EHOVE Career Center,Erie,Public,single,1,780,adm,165,75,0,240
2009,051045,Greene County JT Voc SD,Greene,Public,single,1,525,adm,191,33,0,224
2009,051060,Great Oaks Inst Of Technology,Hamilton,Public,single,4,2825,adm,899,195,0,1094
2009,051128,Jefferson County,Jefferson,Public,single,1,369,adm,205,43,0,248
2009,051144,Knox County,Knox,Public,single,1,609,adm,173,53,0,226
2009,051169,Auburn Jt Voc SD,Lake,Public,single,1,332,adm,62,20,0,82
2009,051185,Lawrence County,Lawrence,Public,single,1,521,adm,315,35,0,350
2009,051201,Career and Technology Educ Ctr-Licking County,Licking,Public,single,1,691,adm,180,62,0,242
2009,051243,Mahoning Co Career & Tech Ctr,Mahoning,Public,single,1,639,adm,279,67,0,346
2009,051300,Mid-East Career and Technology Centers,Muskingum,Public,single,2,1155,adm,396,114,0,510
2009,051334,Ohio Hi-Point Career Center,Logan,Public,single,1,664,adm,288,86,0,374
2009,051359,Penta Career Center,Wood,Public,single,1,1428,adm,408,130,0,538
2009,051375,Pike County Area,Pike,Public,single,1,443,adm,255,35,0,290
2009,051391,Maplewood Career Center,Portage,Public,single,1,682,adm,215,74,0,289
2009,051417,Pioneer Career & Technology,Richland,Public,single,1,985,adm,312,125,0,437
2009,051433,Pickaway-Ross County JVSD,Ross,Public,single,1,646,adm,279,41,0,320
2009,051458,Vanguard-Sentinel Jt Voc SD,Sandusky,Public,single,1,493,adm,201,52,0,253
2009,051474,Warren County Vocational School,Warren,Public,single,1,691,adm,212,52,0,264
2009,051490,Scioto County Joint Vocational School,Scioto,Public,single,1,471,adm,245,45,0,290
2009,051532,Springfield-Clark County,Clark,Public,single,1,665,adm,261,39,0,300
2009,051607,Tri-County Career Center,Athens,Public,single,1,453,adm,250,50,0,300
2009,051631,Trumbull Career & Tech Ctr,Trumbull,Public,single,1,975,adm,352,99,0,451
2009,051656,Buckeye Jt Voc SD,Tuscarawas,Public,single,1,803,adm,310,92,0,402
2009,051672,Vantage Jt Voc SD,Van Wert,Public,single,1,510,adm,140,58,0,198
2009,051698,Washington County,Washington,Public,single,1,454,adm,180,56,0,236
2009,051714,Wayne County JVSD,Wayne,Public,single,1,840,adm,328,89,0,417
2009,052522,Cleveland Catholic Diocese,Cuyahoga,Non-Public,single,72,23185,adm,4584,1533,0,6117
2009,052589,Cleveland Lutheran Hs Assoc,Cuyahoga,Non-Public,single,2,575,adm,78,29,0,107
2009,052670,Wm V Fisher Catholic,Fairfield,Non-Public,single,1,248,adm,6,9,0,15
2009,052779,Calvert Catholic Schools,Seneca,Non-Public,single,3,652,adm,38,32,0,70
2009,052787,Cardinal Mooney,Mahoning,Non-Public,single,1,637,adm,95,17,0,112
2009,052795,Cardinal Stritch,Lucas,Non-Public,single,1,398,adm,83,23,0,106
2009,052985,Olney Friends,Belmont,Non-Public,single,1,56,adm,0,0,0,0
2009,053033,Hathaway Brown,Cuyahoga,Non-Public,single,1,850,adm,0,0,0,0
2009,053058,Hebrew Academy Of Cleveland,Cuyahoga,Non-Public,single,3,797,adm,319,83,0,402
2009,053082,Lehman High Sch,Shelby,Non-Public,single,1,228,adm,6,12,0,18
2009,053116,Central Catholic Tuscarawas Co,Tuscarawas,Non-Public,single,1,183,adm,11,7,0,18
2009,053124,John F Kennedy,Trumbull,Non-Public,single,1,329,adm,29,8,0,37
2009,053165,Lima Central Catholic,Allen,Non-Public,single,1,363,adm,48,19,0,67
2009,053231,Marion Catholic Jr/Sr,Marion,Non-Public,single,1,101,adm,16,3,0,19
2009,053355,Newark Catholic,Licking,Non-Public,single,1,267,adm,2,2,0,4
