irn,district,enrolled_adm_fy24,econ_disadvantaged_pct_fy24,assessed_valuation_per_pupil_fy23,current_operating_millage_ty23,effective_class1_millage_ty23,operating_expenditure_per_pupil_fy24,state_revenue_per_pupil_fy24,local_revenue_per_pupil_fy24
045245,Harrison Hills City (045245) - Harrison County,1279.5662,0.5343,716512.7364,34.75,20,18763.8396,7938.18,16223.6292
044115,Heath City (044115) - Licking County,1611.798,0.4605,265191.4061,49.8,30.9,13724.5856,6508.7707,7500.8217
045419,Hicksville Exempted Village School District (045419) - Defiance County,873.8941,0.407,177191.727,30.7,20,16286.6773,9894.198,5888.4897
048496,Highland Local (048496) - Medina County,3292.0491,0.1083,397776.4345,69.3999,23.9,12627.0036,2797.2257,8435.746
048801,Highland Local (048801) - Morrow County,1607.6059,0.3884,283541.7411,18.9999,19,14596.5449,6936.581,5244.0245
047019,Hilliard City (047019) - Franklin County,15612.7182,0.3505,293410.8592,84.95,31.1149,15622.662,4383.7801,9167.7375
044123,Hillsboro City (044123) - Highland County,2121.275,0.6233,192894.6272,25.5,20,15384.9911,8585.1072,5334.8885
045823,Hillsdale Local (045823) - Ashland County,791.3953,0.3919,656876.2876,47,20,16712.1532,5265.4051,16154.1453
047571,Holgate Local (047571) - Henry County,394.7088,0.3142,259032.9735,30.26,21.31,17899.7299,9741.138,7393.0549
049700,Hopewell-Loudon Local (049700) - Seneca County,725.2493,0.3424,416550.7893,35.54,21.92,13886.1703,6412.4931,8303.347
050161,Howland Local (050161) - Trumbull County,2295.8291,0.442,342622.1828,44.05,34.15,15248.8473,4168.7388,9838.8741
045427,Hubbard Exempted Village (045427) - Trumbull County,1738.8854,0.4928,181840.2193,52.2,30.4,12460.6032,7405.2063,4487.9405
048751,Huber Heights City (048751) - Montgomery County,5631.4618,0.4797,200609.3789,58.25,28.4929,14397.1854,7478.4422,5083.9808
050021,Hudson City (050021) - Summit County,4256.491,0.0776,381122.8872,92.43,35.9744,18654.1839,3979.9215,12475.3418
049502,Huntington Local (049502) - Ross County,1018.973,0.9946,102070.2396,28.5,20.0185,14576.3008,14812.3956,1661.4213
044131,Huron City Schools (044131) - Erie County,1120.6355,0.3712,395796.6221,68.02,27.12,14944.3312,3845.1876,10412.2769
046565,Independence Local (046565) - Cuyahoga County,962.3537,0.1503,546691.2897,31,28.8536,22996.5589,2510.9062,16637.9696
047803,Indian Creek Local (047803) - Jefferson County,1784.0475,0.6943,264926.4315,38.763,20.0062,13828.9039,4925.4063,5521.6127
045435,Indian Hill Exempted Village (045435) - Hamilton County,2127.0062,0.0836,850898.3948,45.38,20,20742.4797,2857.8411,15060.5397
048082,Indian Lake Local (048082) - Logan County,1348.8924,0.5489,458389.029,41.55,24.1,15243.0881,5449.7581,10252.8534
050286,Indian Valley Local (050286) - Tuscarawas County,1657.924,0.4679,177704.3209,35.1,22.1172,14876.8258,9023.6451,4088.222
044149,Ironton City School District (044149) - Lawrence County,1263.6407,0.9989,156445.1769,25,20,14075.7248,10487.227,2840.7163
049809,Jackson Center Local (049809) - Shelby County,475.9981,0.3128,238093.2813,39.1906,19.9943,16186.2735,9387.4179,6392.3886
044156,Jackson City (044156) - Jackson County,2185.4168,0.553,223149.6087,22.5,20,14527.0737,7647.7347,4142.0759
049858,Jackson Local (049858) - Stark County,5776.4401,0.1976,328458.9363,43.897,28.4,12570.3067,2459.1912,8599.7285
048322,Jackson-Milton Local (048322) - Mahoning County,772.0154,0.5149,449614.6205,35.56,23.96,14088.8124,5096.5096,9514.4226
049205,James A Garfield Local (049205) - Portage County,1144.0482,0.4174,196892.0007,57.2999,20.0066,16270.1183,7190.9935,6567.6293
045872,Jefferson Area Local (045872) - Ashtabula County,1680.2562,0.5192,217349.3003,43.4699,20,10679.1916,8081.2999,3879.4977
048256,Jefferson Local (048256) - Madison County,930.152,0.4942,348767.6589,30.5,27.7,18501.9434,6024.6504,12034.1583
048686,Jefferson Township Local (048686) - Montgomery County,247.3625,1,513389.3457,59.3999,24.6655,36163.2036,11779.5109,11961.2833
049338,Jennings Local (049338) - Putnam County,346.5406,0.1577,243881.3476,38.1999,20,14647.5547,9837.1297,6446.6658
047985,Johnstown-Monroe Local (047985) - Licking County,1633.3376,0.2778,411315.9084,34.1,23.4,14536.296,4067.5956,11876.0937
048264,Jonathan Alder Local (048264) - Madison County,2164.4117,0.2582,298959.808,29.1999,20,13982.6537,4779.3685,7750.6852
050179,Joseph Badger Local (050179) - Trumbull County,579.0085,0.5215,320295.9832,31.3999,25.4,17702.7255,9958.5767,6803.3516
049346,Kalida Local (049346) - Putnam County,606.3064,0.0844,254009.7394,28.6,20,13339.8061,7145.4727,6851.1443
047191,Kenston Local (047191) - Geauga County,2405.442,0.1323,497008.6323,85.99,27.7373,17853.0426,3453.1839,13022.6255
044164,Kent City (044164) - Portage County,2794.9724,0.4795,247042.2995,106.3,41.9127,20462.2765,6794.8667,9321.0364
044172,Kenton City (044172) - Hardin County,1685.0728,0.6356,186943.3209,34.2,20,15182.0064,8600.7016,4715.5183
044180,Kettering City School District (044180) - Montgomery County,7301.571,0.4873,267921.0843,88.37,39.5887,17494.8879,5002.7474,11175.7969
048165,Keystone Local (048165) - Lorain County,1477.1521,0.3203,265781.1353,50.55,24.7083,12425.6618,5400.1187,6597.4982
050435,Kings Local (050435) - Warren County,4684.5632,0.2596,263854.9634,75.13,39.5894,14596.5648,3555.6809,9892.8853
047878,Kirtland Local (047878) - Lake County,1069.6801,0.1459,397620.376,69.4799,32.53,15646.0288,2674.2735,11801.0654
050245,LaBrae Local (050245) - Trumbull County,1009.1909,0.7327,155430.232,47.3,20,14320.9688,10215.2838,3461.165
049866,Lake Local (049866) - Stark County,3234.5758,0.2256,198662.6147,67.1,26.6859,12489.0541,6291.6539,4945.0538
050690,Lake Local (050690) - Wood County,1483.195,0.4377,246699.9165,57.44,24.0889,14712.4854,5322.8621,7551.2041
050187,Lakeview Local (050187) - Trumbull County,1482.2105,0.3034,276690.8215,40.7999,26.6,11237.7576,5257.216,6334.8834
044198,Lakewood City (044198) - Cuyahoga County,4066.3842,0.4883,336909.2231,112.63,36.8654,21390.5776,5548.4873,12211.4153
047993,Lakewood Local (047993) - Licking County,1583.3877,0.5283,528802.9783,45.9,27.1,16824.9399,4463.8471,11993.644
046110,Lakota Local (046110) - Butler County,16898.7797,0.3209,304582.569,64.14,23.2858,13421.0011,3820.0485,6834.8437
049569,Lakota Local (049569) - Sandusky County,874.5246,0.459,271690.9086,36.4,20,15793.2363,7500.9427,8456.005
044206,Lancaster City (044206) - Fairfield County,5981.7696,0.5873,229164.5832,64.6,20.0009,15347.4183,6547.5114,7671.3507
044214,Lebanon City (044214) - Warren County,4895.1747,0.3278,279986.9238,54.55,29.44,14017.1877,5129.0079,7716.8933
045443,Leetonia Exempted Village School District (045443) - Columbiana County,493.5729,0.6228,221907.9802,23.3199,23.32,20580.8765,12301.1919,4634.2262
049353,Leipsic Local (049353) - Putnam County,641.1656,0.4962,212124.0397,31.8999,23.2,13500.9455,10519.6143,5366.7813
049437,Lexington Local (049437) - Richland County,2251.6953,0.3082,252791.7407,38.5,29.7,13157.6036,5594.4851,6324.1536
047589,Liberty Center Local (047589) - Henry County,1000.9985,0.2758,229374.4735,40.35,20,15483.1303,7859.899,7703.2733
050195,Liberty Local (050195) - Trumbull County,1129.3191,0.7733,286140.9759,43.05,30.85,14886.0196,6082.0002,7446.0063
046888,Liberty Union-Thurston Local (046888) - Fairfield County,1171.1622,0.3666,256904.0576,37.7,20.1177,16240.759,6892.3299,9205.2829
047449,Liberty-Benton Local (047449) - Hancock County,1533.3759,0.2401,189627.0697,35.71,24.9166,11040.9727,5867.9273,6635.6852
048009,Licking Heights Local (048009) - Licking County,4980.3168,0.6057,243415.3612,39.2,29.5,12238.9248,6861.2576,6004.0466
