school_year,leaid,irn,name,agency_type,status
2008,3900361,000634,SUMMIT ACADEMY SECONDARY SCHOOL - MIDDLETOWN,7,1
2008,3900366,000640,RITTMAN ACADEMY,7,1
2008,3900377,000652,THE FIVE R'S ACADEMY,7,1
2008,3900378,000654,ASPIRE ACADEMY  THE,7,6
2008,3900381,000664,LIFE SKILLS CENTER OF COLUMBUS SOUTHEAST,7,1
2008,3900382,000677,NEW DAY ACADEMY BOARDING & DAY SCHOOL,7,1
2008,3900383,000679,OAKSTONE COMMUNITY SCHOOL,7,1
2008,3900384,000680,URBAN YOUTH ACADEMY  INC.,7,2
2008,3900385,147231,SCHNEE LEARNING CENTER,7,1
2008,3900392,000578,UPPER ARLINGTON COMMUNITY HIGH SCHOOL,7,1
2008,3900394,000700,NEW CITY SCHOOL,7,1
2008,3900396,000725,ZENITH ACADEMY,7,1
2008,3900399,000736,PHOENIX VILLAGE ACADEMY PRIMARY 2,7,1
2008,3900400,000738,PHOENIX VILLAGE ACADEMY: SECONDARY I,7,1
2008,3900402,000740,PHOENIX VILLAGE ACADEMY PRIMARY 1,7,1
2008,3900404,000743,PSCHTECIN PUBLIC SCHOOL,7,1
2008,3900428,000770,MARITIME ACADEMY OF TOLEDO  THE,7,1
2008,3900431,000775,WEEMS SCHOOL,7,1
2008,3900433,000777,EDUCATIONAL ACADEMY AT LINDEN,7,1
2008,3900434,000779,EDUCATIONAL ACADEMY FOR BOYS & GIRLS,7,1
2008,3900435,000780,MIDNIMO CROSS CULTURAL COMMUNITY SCHOOL,7,1
2008,3900436,000781,CINCINNATI SPEECH & READING INTERVENTION CENTER,7,1
2008,3900437,000782,VERITAS ACADEMY,7,2
2008,3900438,000784,ACADEMY OF COLUMBUS,7,1
2008,3900441,000804,HORIZON SCIENCE ACADEMY-CINCINNATI,7,1
2008,3900444,000808,HORIZON SCIENCE ACADEMY-DAYTON,7,1
2008,3900448,000813,LIFE SKILLS CENTER OF DAYTON,7,1
2008,3900451,000825,HORIZON SCIENCE ACADEMY-SPRINGFIELD,7,1
2008,3900454,000838,HORIZON SCIENCE ACADEMY-DENISON MIDDLE SCHOOL,7,1
2008,3900457,000843,BENNETT VENTURE ACADEMY,7,1
2008,3900467,000855,STAMBAUGH CHARTER ACADEMY,7,1
2008,3900470,000858,HORIZON SCIENCE ACADEMY-CLEVELAND MIDDLE SCHOOL,7,1
2008,3900471,000859,CANTON ARTS ACADEMY,7,2
2008,3900474,000875,WESTSIDE ACADEMY,7,1
2008,3900478,000905,INTERACTIVE MEDIA & CONSTRUCTION (IMAC),7,1
2008,3900479,000909,V L T ACADEMY,7,1
2008,3900484,000915,NIA UNIVERSITY COMMUNITY SCHOOL,7,1
2008,3900486,000268,TIFFIN CITY DIGITAL ACADEMY,7,1
2008,3900487,000277,SCHOLARTS PREPARATORY AND CAREER CENTER FOR CHILDREN,7,1
2008,3900488,000282,WARREN COUNTY VIRTUAL COMMUNITY SCHOOL,7,1
2008,3900489,000287,AUGLAIZE COUNTY SPECIAL NEEDS SCHOOL,7,1
2008,3900490,000288,AUGLAIZE COUNTY EDUCATIONAL ACADEMY,7,1
2008,3900491,000292,EAST MUSKINGUM ACADEMY,7,6
2008,3900492,000296,SUMMIT ACADEMY COLUMBUS,7,1
2008,3900493,000297,SUMMIT ACADEMY DAYTON,7,1
2008,3900494,000298,SUMMIT ACADEMY SECONDARY - AKRON,7,1
2008,3900495,000300,SUMMIT ACADEMY SECONDARY - CANTON,7,1
2008,3900496,000301,SUMMIT ACADEMY SECONDARY - LORAIN,7,1
2008,3900497,000302,SUMMIT ACADEMY SECONDARY SCHOOL-PARMA,7,1
2008,3900498,000303,SUMMIT ACADEMY SECONDARY - YOUNGSTOWN,7,1
2008,3900499,000304,SUMMIT ACADEMY COMMUNITY SCHOOL-TOLEDO,7,1
2008,3900500,000305,SUMMIT ACADEMY COMMUNITY SCHOOL-WARREN,7,1
2008,3900501,000306,SUMMIT ACADEMY CINCINNATI,7,1
2008,3900502,000311,BRIDGES COMMUNITY ACADEMY,7,1
2008,3900503,000316,CONSTELLATION SCHOOLS: WESTPARK COMMUNITY MIDDLE SCHOOL,7,1
2008,3900505,000318,MENLO PARK ACADEMY,7,1
2008,3900506,000319,CONSTELLATION SCHOOLS:  MADISON COMMUNITY ELEMENTARY,7,1
2008,3900507,000320,CONSTELLATION SCHOOLS: LORAIN COMMUNITY MIDDLE SCHOOL,7,1
2008,3900508,000321,CONSTELLATION SCHOOLS: OLD BROOKLYN MIDDLE SCHOOL,7,1
2008,3900510,000338,HORIZON SCIENCE ACADEMY TOLEDO,7,1
2008,3900511,000343,CHASE ACADEMY FOR COMMUNICATION ARTS,7,1
2008,3900514,000360,MIAMISBURG SECONDARY DIGITAL ACADEMY,7,1
2008,3900519,000368,UPPER ARLINGTON INTERNATIONAL BACCALAUREATE HIGH SCHOOL,7,1
2008,3900523,000392,MANSFIELD ENHANCEMENT ACADEMY,7,1
2008,3900525,000396,MANSFIELD ELECTIVE ACADEMY,7,1
2008,3900528,000402,FINDLAY DIGITAL ACADEMY,7,1
2008,3900530,000417,BUCKEYE ON-LINE SCHOOL FOR SUCCESS,7,1
2008,3900531,000418,GREATER HEIGHTS ACADEMY,7,1
2008,3900533,000420,COLUMBUS BILINGUAL ACADEMY,7,1
2008,3900534,000426,LANCASTER FAIRFIELD COMMUNITY SCHOOL,7,1
2008,3900535,000427,ARISE ACADEMY,7,1
2008,3900537,000442,MANCHESTER LOCAL,1,1
2008,3900538,000445,GENERAL CHAPPIE JAMES LEADERSHIP ACADEMY,7,1
2008,3900540,000461,PACE CAREER CENTRAL,7,6
2008,3900543,000473,TECH CON INSTITUTE,7,1
2008,3900544,000481,P.A.C.E. HIGH SCHOOL,7,1
2008,3900546,000496,PETERSON ENTREPRENEURIAL TRAINING ENTERPRISE,7,1
2008,3900547,000502,CANTON ACADEMY  THE,7,2
2008,3900550,000509,WHITEHALL PREPARATORY AND FITNESS ACADEMY,7,1
2008,3900551,000510,SPRINGFIELD PREPARATORY AND FITNESS ACADEMY,7,1
2008,3900552,000511,NORTHLAND PREPARATORY AND FITNESS ACADEMY,7,1
2008,3900554,000922,NU BETHEL CENTER OF EXCELLENCE,7,1
2008,3900557,000930,CLEVELAND ENTREPRENEURSHIP PREPARATORY SCHOOL,7,1
2008,3900562,000936,PROMISE ACADEMY,7,1
2008,3900564,000938,PREMIER ACADEMY OF OHIO,7,1
2008,3900567,000941,PAR EXCELLENCE ACADEMY,7,1
2008,3900568,000942,LAKEWOOD CITY ACADEMY,7,1
2008,3900569,000946,CLEVELAND LIGHTHOUSE COMMUNITY SCHOOL,7,1
2008,3900572,000949,VILLAVIEW LIGHTHOUSE COMMUNITY SCHOOL,7,1
2008,3900573,000951,TOLEDO PREPARATORY AND FITNESS ACADEMY,7,1
2008,3900574,000952,COLUMBUS PREPARATORY AND FITNESS ACADEMY,7,1
2008,3900575,000953,CINCINNATI PREPARATORY AND FITNESS ACADEMY,7,1
2008,3900578,007982,ACADEMY OF ARTS AND HUMANITIES,7,1
2008,3900580,007984,YOUNGSTOWN ACADEMY OF EXCELLENCE,7,1
2008,3900581,007992,ARTS AND SCIENCE ACADEMY,7,6
2008,3900584,007995,CLEVELAND ARTS AND SOCIAL SCIENCES ACADEMY,7,1
2008,3900585,007998,CENTER FOR STUDENT ACHIEVEMENT,7,1
2008,3900586,007999,THE CHARLES SCHOOL AT OHIO DOMINICAN UNIVERSITY,7,1
2008,3900587,008000,MANSFIELD PREPARATORY ACADEMY,7,1
2008,3900592,008061,ARTS AND SCIENCE PREPARATORY ACADEMY,7,1
2008,3900593,008063,LIFE SKILLS CENTER OF NORTH AKRON,7,1
2008,3900594,008064,ACADEMY OF ARTS AND SCIENCES,7,1
2008,3900595,008065,IMANI LEARNING ACADEMY,7,1
2008,3900596,008066,LION OF JUDAH ACADEMY,7,1
2008,3900597,008067,ELITE ACADEMY OF THE ARTS,7,1
2008,3900598,008068,ARTS ACADEMY WEST  THE,7,1
2008,3900599,008115,HOPE ACADEMY HIGH SCHOOL - CLEVELAND CAMPUS,7,2
2008,3900638,000912,ACADEMIC ACCELERATION ACADEMY,7,1
2008,3900639,008251,MAHONING VALLEY OPPORTUNITY CENTER,7,1
2008,3900640,008287,GROVEPORT COMMUNITY SCHOOL,7,1
2008,3900641,008286,HARVARD AVENUE COMMUNITY SCHOOL,7,1
2008,3900642,008283,DAYTON TECHNOLOGY DESIGN HIGH SCHOOL,7,1
2008,3900643,008282,LIFE SKILLS CENTER OF COLUMBUS NORTH,7,1
2008,3900644,008281,SOUTH SCIOTO ACADEMY,7,1
2008,3900645,008280,NOBLE ACADEMY-COLUMBUS,7,1
2008,3900646,008278,NOBLE ACADEMY-CLEVELAND,7,1
2008,3900647,008289,EAGLE LEARNING CENTER,7,1
2008,3901295,009136,MARGARETTA ACADEMY,7,2
2008,3901296,009181,CLAY AVENUE COMMUNITY SCHOOL,7,1
2008,3901297,009153,HASTINGS INTERNATIONAL BACCALAUREATE MIDDLE SCHOOL,7,2
2008,3901298,009171,STAR ACADEMY OF TOLEDO,7,1
2008,3901299,009137,TOWNSEND ACADEMY,7,2
2008,3901300,009152,HECTOR GARCIA ACADEMY,7,2
2008,3901301,009192,FOUNDATION ACADEMY,7,1
2008,3901302,009283,DAYTON EARLY COLLEGE ACADEMY  INC,7,1
2008,3901303,009169,MEDINA CITY SCHOOLS TECHNOLOGY SCHOOL,7,7
2008,3901304,009180,SOUTH-WESTERN CITY SCHOOLS SPONSORED CONVERSION SCHOOL,7,2
2008,3901305,009122,COLUMBUS COLLEGIATE ACADEMY,7,3
2008,3901306,009146,PINNACLE ACADEMY,7,2
2008,3901307,009173,SHAKER HEIGHTS INTERNATIONAL SCHOOL,7,2
2008,3901308,009162,BRIDGE ACADEMY OF OHIO,7,1
2008,3901309,009172,SOUTH EUCLID-LYNDHURST SUCCESS ACADEMY,7,2
2008,3901310,009185,GLOBAL EXPERIENTIAL MIDDLE SCHOOL,7,2
2008,3901311,009138,OREGON EAGLE CAREER TECHNICAL ACADEMY,7,2
2008,3901312,009154,CINCINNATI LEADERSHIP ACADEMY,7,1
2008,3901313,009164,CENTRAL ACADEMY OF OHIO,7,1
