irn,district,enrolled_adm_fy24,headcount_kindergarten,headcount_grades_1_3,headcount_grades_4_8,headcount_grades_9_12
046268,Northwestern Local (046268) - Clark County,1498.7561,124,361,650,402
050575,Northwestern Local (050575) - Wayne County,1191.8657,117,289,483,316
050716,Northwood Local Schools (050716) - Wood County,816.1833,51,194,350,232
044552,Norton City (044552) - Summit County,2066.0235,136,440,849,703
044560,Norwalk City (044560) - Huron County,2367.8267,178,571,922,692
050567,Norwayne Local (050567) - Wayne County,1276.2611,93,278,511,401
044578,Norwood City (044578) - Hamilton County,1560.9235,145,374,596,441
047761,Oak Hill Union Local (047761) - Jackson County,1069.3873,86,252,432,317
047373,Oak Hills Local (047373) - Hamilton County,7088.1449,515,1619,2892,2275
044586,Oakwood City (044586) - Montgomery County,1934.5712,115,398,780,638
044594,Oberlin City Schools (044594) - Lorain County,742.5412,56,157,300,225
049726,Old Fort Local (049726) - Seneca County,618.9430,45,150,245,208
046763,Olentangy Local (046763) - Delaware County,22324.9526,1498,5223,9223,7176
046573,Olmsted Falls City (046573) - Cuyahoga County,3235.4418,205,733,1279,1133
049478,Ontario Local (049478) - Richland County,1851.7043,125,404,769,532
046581,Orange City (046581) - Cuyahoga County,1959.3698,142,483,763,569
044602,Oregon City (044602) - Lucas County,3288.4160,250,729,1206,1103
044610,Orrville City (044610) - Wayne County,1434.3716,97,315,597,421
049916,Osnaburg Local (049916) - Stark County,850.0257,65,199,316,255
050724,Otsego Local (050724) - Wood County,1451.4950,105,353,615,443
048215,Ottawa Hills Local (048215) - Lucas County,1031.0217,52,247,396,338
049379,Ottawa-Glandorf Local (049379) - Putnam County,1413.6180,107,280,547,502
049387,Ottoville Local (049387) - Putnam County,486.3862,44,111,202,129
044628,Painesville City Local (044628) - Lake County,2547.5013,192,606,971,831
049510,Paint Valley Local (049510) - Ross County,722.5450,44,170,289,222
049395,Pandora-Gilboa Local (049395) - Putnam County,512.7103,40,103,193,178
048579,Parkway Local (048579) - Mercer County,939.1764,80,206,376,265
044636,Parma City (044636) - Cuyahoga County,8675.5925,627,1839,3129,3112
047597,Patrick Henry Local (047597) - Henry County,828.8563,73,186,344,244
045575,Paulding Exempted Village (045575) - Paulding County,1235.0949,111,297,483,343
046813,Perkins Local (046813) - Erie County,1759.2938,144,418,669,534
045781,Perry Local (045781) - Allen County,687.4589,57,164,322,173
047902,Perry Local (047902) - Lake County,1404.2945,85,294,530,505
049924,Perry Local (049924) - Stark County,4060.2102,268,875,1502,1452
045583,Perrysburg Exempted Village (045583) - Wood County,5137.2556,377,1216,2147,1588
047076,Pettisville Local (047076) - Fulton County,478.8608,32,113,192,139
046896,Pickerington Local (046896) - Fairfield County,10989.9893,687,2612,4428,3575
047084,Pike-Delta-York Local (047084) - Fulton County,1112.7746,91,206,446,356
044644,Piqua City (044644) - Miami County,2965.6484,252,774,1174,834
049932,Plain Local (049932) - Stark County,5760.5113,414,1293,2099,2091
048421,Pleasant Local (048421) - Marion County,1246.9594,104,289,509,339
049460,Plymouth-Shiloh Local (049460) - Richland County,628.7895,55,155,253,162
048348,Poland Local (048348) - Mahoning County,1695.0359,137,412,672,478
044651,Port Clinton City (044651) - Ottawa County,1337.0594,104,276,513,457
044669,Portsmouth City (044669) - Scioto County,1493.8298,123,387,577,402
049288,Preble Shawnee Local (049288) - Preble County,1251.4990,88,267,544,358
044677,Princeton City (044677) - Hamilton County,5633.8922,393,1280,2154,1931
045880,Pymatuning Valley Local (045880) - Ashtabula County,1029.6321,93,222,390,323
