irn,district,base_cost_enrolled_adm,school_buildings,adm_kindergarten,adm_grades_1_3,adm_grades_4_8_non_cte,adm_grades_9_12_non_cte,adm_cte,adm_grades_9_12_total,funded_classroom_teachers,funded_special_teachers,teacher_base_cost,aggregate_base_cost,base_cost_per_pupil,temp_transitional_aid_guarantee,enrolled_adm_fy22,enrolled_adm_fy24,assessed_valuation_per_pupil_fy23,core_foundation_funding
045922,Trimble Local,649.0905,4,55.2392,149.2136,264.5942,179.4635,0.5799,171.5366,26.51,6,3196835.79,6183859.97,9526.96,0,705.2514,594.3507,90328.25,10355823.93
045948,Minster Local,891.288,2,74,229.154,328.737,232.7391,26.6579,246.6982,36.91,6,4219508.58,7690707.94,8628.76,0,872.5944,891.288,258186.38,4590019.13
045955,New Bremen Local,818.8671,2,61.5362,192.6088,302.6294,235.6413,26.4515,256.7649,33.75,6,3908773.39,7194514.92,8785.94,0,822.014,815.4628,216146.82,5278638.07
045963,New Knoxville Local,405.2607,2,24.0228,102.9374,150.8611,110.1694,17.2701,123.6987,16.75,6,2237096.72,4537683.93,11196.95,0,393.2892,405.2607,229599.24,3407801.9
045971,Waynesfield-Goshen Local,424.3756,2,33.1959,105.0723,159.3978,118.0598,8.6497,119.8385,17.46,6,2306913.8,4649820.43,10956.85,0,429.8434,422.0662,228967.99,3607175.35
045997,St Clairsville-Richland City,1520.6115,3,108.39,346.5984,602.954,462.6692,0,447.8478,61.74,10.14,7068242.28,12307091.02,8093.51,1946072.27,1570.1552,1479.7583,423137.61,1476168.64
046003,Shadyside Local,639.8091,3,59.1461,166.4144,228.7604,185.4883,0,177.4171,26.21,6,3167335.62,6075023.5,9495.06,0,651.6947,632.1461,209105.46,5945919.82
046011,Union Local,1204.2433,3,79.4761,245.1493,480.1755,349.6196,49.8228,372.0634,49.56,8.03,5663050.55,9945959.15,8259.09,4729694.73,1258.4142,1166.2256,323847.45,2421068.76
046037,Eastern Local School District,1101.8511,4,87.3,290.1533,444.6793,267.3637,12.3548,262.8731,45.36,7.35,5183181.01,9268581.1,8411.83,1624938.37,1056.426,1101.8511,258892.27,4742602.68
046045,Fayetteville-Perry Local,706.1505,3,50.3998,165.4512,278.5558,194.9618,16.7819,199.8592,29.01,6,3442670.59,6510655.23,9219.93,0,731.8299,681.6857,186442.78,5285194.08
046060,Western Brown Local,2615.3352,4,195.1046,606.57,1056.8937,698.5804,58.1866,697.9023,107.51,17.44,12286823.51,21268280.27,8132.14,2256359.02,2723.7901,2532.2088,123939.05,19850115.65
046078,Ripley-Union-Lewis-Huntington Local,683.7087,3,61.8115,183.1025,229.1959,200.4468,9.1521,193.9716,28.15,6,3358103.43,6371235.2,9318.64,0,712.5213,644.3569,183148.19,7552581.38
046094,Edgewood City,3094.127,5,206.3296,694.2269,1263.286,930.2845,0,884.5141,125.49,20.63,14368552.64,25071124.32,8102.81,0,3238.1419,2985.2547,210936.82,17274129.55
046102,Fairfield City,8509.3646,1,316.7592,2008.3539,3539.2429,2645.0087,0,2511.8611,342.69,56.73,39276535,68656077.21,8068.3,339841.31,8686.2152,8348.9959,266728.29,28324522.8
046110,Lakota Local,16699.889,21,1132.0361,3874.8343,6763.8871,4929.1315,0,4794.7674,678.19,111.33,77636597.84,134878161.12,8076.59,23721677.4,16898.7797,16464.8725,304582.57,17872345.19
046128,Madison Local,1372.0883,3,97.0554,330.1566,545.3052,397.5664,2.0046,382.8206,55.86,9.15,6392688.25,11163412.59,8136.07,463275.37,1402.0257,1309.6867,196096.32,8001264.13
046136,New Miami Local,578.1178,3,50.7471,150.9138,222.3218,154.1351,0,146.2419,23.7,6,2920517.47,5679996.28,9824.98,0,531.5716,578.1178,136388.18,9581972.69
046144,Ross Local,2247.586,5,77.6499,516.5617,989.2941,664.0802,0,625.0738,90.51,14.98,10373245.39,18074307.05,8041.65,4284081.85,2312.6164,2190.8583,276383.25,4559532.72
046151,Talawanda City,2704.3881,5,189.8845,626.6886,1083.1219,796.1444,8.5487,765.0939,110.03,18.03,12592642,21899988.32,8097.95,4305778.46,2738.8681,2662.2871,412591.67,2732051.69
046177,Brown Local,566.1696,3,46.7405,130.919,223.5512,164.9588,0,152.7111,23.08,6,2859550.45,5591187.14,9875.46,0,577.5154,551.8569,354257.96,2489869.61
046193,Graham Local,1382.5044,3,108.4491,334.02,541.5943,396.0778,2.3632,372.194,56.41,9.22,6453655.28,11252426.78,8139.16,4669787.16,1454.7445,1321.4566,256982.34,3998577.17
046201,Triad Local,738.4301,3,63.8694,187.369,289.1035,195.8142,2.274,186.1228,30.28,6,3567554.68,6712981.63,9090.88,0,743.6131,734.759,236991.3,4889869.97
046219,West Liberty-Salem Local,1115.0195,3,69.7134,237.8461,449.4433,331.1056,26.9111,351.077,45.56,7.43,5210714.51,9272117.69,8315.66,0,1138.8773,1083.9503,174964.98,7162591.65
046235,Greenon Local,1536.6493,3,112.8586,376.5422,600.5203,393.7954,52.9327,401.2572,63.56,10.24,7257043.42,12535018.87,8157.37,0,1564.0915,1508.691,238581.15,4791494.63
046243,Tecumseh Local,2569.7903,5,201.638,635.7027,988.0894,685.3003,59.0598,698.4844,105.91,17.13,12099005.72,20922568.65,8141.74,0,2586.1268,2546.0698,155727.81,20261943.43
046250,Northeastern Local,2803.6755,4,210.2414,645.1514,1115.7129,784.7779,47.7919,792.556,114.91,18.69,13137411.94,22795427.07,8130.55,2467112.92,2853.8188,2705.2391,243634.65,7782905.52
046268,Northwestern Local,1470.8102,2,112.8459,364.9236,605.0403,386.853,1.1474,365.7876,60.1,9.81,6874524.47,11938093.86,8116.68,2510.49,1498.7561,1432.3304,209181.83,6396134.91
046276,Southeastern Local,662.3174,3,47.8826,157.9405,283.0636,160.8302,12.6005,161.744,27.24,6,3268619.56,6230176.57,9406.63,0,671.9598,650.415,246964.52,5446361.38
046284,Clark-Shawnee Local,1583.6672,2,130.6484,397.6572,646.6408,398.2003,10.5205,381.9417,65.02,10.56,7432077.8,12854825.33,8117.13,795649.18,1651.4883,1527.1647,273414.65,4469417.18
046300,Batavia Local,2314.4024,3,187.436,561.3055,921.5304,643.291,0.8395,621.6578,94.51,15.43,10810831.35,18738425.01,8096.44,0,2288.5314,2306.8519,170137.52,13994462
046318,Bethel-Tate Local,1228.8686,4,87.551,300.9302,469.7241,370.6633,0,342.9283,49.98,8.19,5720084.23,10117096.23,8232.85,2244158.36,1317.3839,1116.8926,204702.84,7055173.65
046326,Clermont Northeastern Local,1206.9247,3,77.4622,256.2727,484.3976,375.6478,13.1444,372.9866,49.03,8.05,5612900.24,9904061.11,8206.03,2411637.32,1264.0714,1167.1199,345458.01,1288823.82
046334,Felicity-Franklin Local,639.8575,3,52.9381,146.9608,249.8378,161.2992,28.8216,168.1862,26.61,6,3206669.19,6114458.36,9555.97,0,646.3656,635.5645,180613.45,7773128.86
046342,Goshen Local,2549.087,4,185.9294,579.2447,1004.5922,778.7931,0.5276,748.5847,103.54,16.99,11852187.59,20617858.96,8088.33,0,2616.4246,2504.5471,176849.48,17877059.99
046359,West Clermont Local,7367.1534,9,608.1532,1846.3705,2838.3551,2060.6236,13.651,2004.1844,301.3,49.11,34457189.49,59899258.51,8130.58,10792797.17,7475.1495,7325.7391,294071.19,13386407.99
046367,Williamsburg Local,925.0033,2,69.9191,199.6839,375.2044,275.661,4.5349,256.8558,37.65,6.17,4308992.45,7867791.71,8505.69,0,930.2683,925.0033,199217.38,6981665.54
046383,Blanchester Local,1057.8838,3,87.9946,254.9142,427.3146,287.6578,0.0027,265.3841,43.23,7.05,4944229.58,8865306.76,8380.23,3886447.94,1071.2206,1033.8264,253785.41,6430648.2
046391,Clinton-Massie Local,1494.4289,3,106.1133,352.8188,613.4521,422.0447,0,394.3083,60.81,9.96,6959091.63,12101494.4,8097.74,5787761.43,1618.3587,1365.329,265650.55,2161106.54
046409,East Clinton Local,1069.3188,4,89.4229,290.1864,436.7831,252.9264,0,234.2053,43.93,7.13,5020930.04,9027273.57,8442.08,0,1081.3163,1054.9921,223742.26,8404338.09
046425,Beaver Local,1674.173,3,116.6274,380.403,668.6788,508.4639,0,493.615,67.95,11.16,7779196.54,13523764.61,8077.88,964474.13,1679.9952,1659.0698,224986.34,7602930.58
046433,Crestview Local,1102.8628,3,68.6152,257.2668,453.2471,320.303,3.4307,315.305,44.8,7.35,5128114.02,9158647.72,8304.43,0,1118.1211,1079.2729,155917.64,8860325.44
046441,Southern Local,753.0271,3,64.1796,183.6614,277.1829,214.3678,13.6353,220.6818,30.98,6,3636388.42,6816340.77,9051.92,0,756.8999,753.0271,242864.16,7625048.68
046458,United Local,963.8365,2,66.1724,218.3947,390.1065,265.1822,23.9808,275.9324,39.56,6.43,4522377.06,8179788.57,8486.7,3878069.49,990.4008,945.2101,390421.31,2838095.83
046474,Ridgewood Local,1158.6082,3,87.9955,291.6017,482.4919,263.5807,32.9384,271.7994,47.97,7.72,5476216.1,9643331.84,8323.2,0,1170.2238,1144.1219,171330.97,9271602.2
046482,River View Local,1442.2168,3,107.7334,321.0428,598.0962,394.4866,20.8578,393.8371,59.04,9.61,6750623.72,11734564.53,8136.48,4192880.01,1504.9107,1381.8363,294725.52,2425073.55
046508,Buckeye Central Local,582.226,3,48.7668,121.4777,228.0446,172.0655,11.8715,171.6225,23.87,6,2937234.24,5706222.08,9800.7,2478084.05,590.7343,572.9793,687900.54,1079261.72
046516,Colonel Crawford Local,869.4579,4,64.3417,203.2768,375.9653,225.8741,0,208.2394,35.46,6,4076924.39,7596102.97,8736.6,0,869.1372,858.7661,180680.42,5376699.07
046524,Wynford Local,951.7062,3,78.7862,259.7007,398.7303,213.8222,0.6667,198.4788,39.14,6.34,4472226.76,8133669.26,8546.41,401548.7,992.1395,922.8859,218170.01,5342935.18
046557,Cuyahoga Heights Local,701.1076,3,48.275,154.0788,273.6727,221.5658,3.5152,216.081,28.46,6,3388586.94,6444022.06,9191.2,0,732.1652,658.7303,617662.63,748700.74
